;filename;text;hit
89;./img/edges5_NeilPatrickHarris(Barney)3_7.png;Barney;1
128;./img/edges5_NeilPatrickHarris(Barney)1_1.png;Barney;1
157;./img/gray_NeilPatrickHarris(Barney)2_2.png;Barney;1
210;./img/gray_NeilPatrickHarris(Barney)3_7.png;Barney;1
40;./img/smoo15_NeilPatrickHarris(Barney)2_2.png;Barney;1
193;./img/gray_NeilPatrickHarris(Barney)1_1.png;Barney;1
133;./img/edges5_NeilPatrickHarris(Barney)2_2.png;Barney;1
21;./img/smoo15_NeilPatrickHarris(Barney)3_7.png;Barney;1
116;./img/edges5_EmilyDeschanel5_1.png;Bones;1
204;./img/gray_EmilyDeschanel3_1.png;Bones;1
136;./img/edges5_EmilyDeschanel3_1.png;Bones;1
196;./img/gray_EmilyDeschanel5_1.png;Bones;1
144;./img/edges5_EmilyDeschanel6_12.png;Bones;1
58;./img/smoo15_EmilyDeschanel3_1.png;Bones;1
155;./img/gray_EmilyDeschanel6_12.png;Bones;1
14;./img/smoo15_BritneySpears7_1.png;Britney Spears;1
126;./img/edges5_KatjaBurkard5_3.png;Burkhard;1
125;./img/edges5_KatjaBurkard4_1.png;Burkhard;1
209;./img/gray_KatjaBurkard5_3.png;Burkhard;1
30;./img/smoo15_KatjaBurkard4_1.png;Burkhard;1
177;./img/gray_KatjaBurkard4_1.png;Burkhard;1
147;./img/gray_KatjaBurkard1_1.png;Burkhard;1
159;./img/gray_GeorgeClooney11_1.png;Cloney;1
172;./img/gray_GeorgeClooney4_2.png;Cloney;1
103;./img/edges5_GeorgeClooney4_2.png;Cloney;1
120;./img/edges5_GeorgeClooney3_1.png;Cloney;1
202;./img/gray_GeorgeClooney3_1.png;Cloney;1
67;./img/smoo15_GeorgeClooney4_2.png;Cloney;1
180;./img/gray_TomCruise5_1.png;Cruise;1
181;./img/gray_TomCruise1_1.png;Cruise;1
118;./img/edges5_TomCruise5_1.png;Cruise;1
167;./img/gray_TomCruise4_1.png;Cruise;1
87;./img/edges5_LisaEdelstein(DrLisaCuddy)6_3.png;Cuddy;1
