img,name,bekannt
./img/Ice-T(OdafinFinTutuola)1.jpg,Ice-T,nein
./img/KatjaBurkard5.jpg,Katja Burkard,ja
./img/BarackObama2.jpg,Barack Obama,ja
./img/AngelaMerkel1.jpg,Angela Merkel,ja
./img/LisaEdelstein(DrLisaCuddy)2.jpg,Lisa Edelstein,nein
./img/Shakira1.jpg,Shakira,ja
./img/JimParsons(SheldonCooper)1.jpg,Jim Parsons,ja
./img/GeorgeClooney6.jpg,George Clooney,ja
./img/CobieSmulders(Robin)2.jpg,Cobie Smulders,ja
./img/EmmaWatson(HermioneGranger)1.jpg,Emma Watson,ja
./img/JoshRadnor(Ted)1.jpg,Josh Radnor,ja
./img/CarenMiosga4.jpg,Caren Miosga,nein
./img/MariskaHargitay(Liv)1.jpg,Mariska Hargitay,nein
./img/SigmarGabriel1.jpg,Sigmar Gabriel,ja
./img/RobertSeanLeonard(Wilson)2.jpg,Robert Sean Leonard,nein
./img/TomCruise2.jpg,Tom Cruise,ja
./img/UrsulavonderLeyen1.jpg,Ursula von der Leyen,ja
./img/WillSmith4.jpg,Will Smith,ja
./img/BritneySpears5.jpg,Britney Spears,ja
./img/BastianSchweinsteiger1.jpg,Bastian Schweinsteiger,ja
./img/CristinMilioti(Tracy_Mutter)1.jpg,Cristin Milioti,nein
./img/AlysonHannigan(Lily)1.jpg,Alyson Hannigan,ja
./img/JudithRakers7.jpg,Judith Rakers,nein
./img/ElvisPresley1.jpg,Elvis Presley,ja
./img/JoachimLoew1.jpg,Joachim Löw,ja
./img/LeonardoDiCaprio1.jpg,Leonardo DiCaprio,ja
./img/NeilPatrickHarris(Barney)4.jpg,Neil Patrick Harris,ja
./img/TaylorSwift1.jpg,Taylor Swift,nein
./img/Beyonce2.jpg,Beyoncé,ja
./img/EmilyDeschanel3.jpg,Emily Deschanel,nein
./img/MilaKunis5.jpg,Mila Kunis,nein
./img/HughLaurie(DrHouse)9.jpg,Hugh Laurie,ja
./img/JanHofer1.jpg,Jan Hofer,nein
./img/BenedictCumberbatch4.jpg,Benedict Cumberbatch,nein
./img/GuentherJauch2.jpg,Günther Jauch,ja
./img/SahraWagenknecht6.jpg,Sahra Wagenknecht,ja
./img/KaleyCuoco(Penny)2.jpg,Kaley Cuoco,ja
./img/OmarEpps(DrEricForeman)1.jpg,Omar Epps,nein
./img/JasonSegel(Marshall)2.jpg,Jason Segel,ja
./img/DannFlorek(DonaldDonCragen)1.jpg,Dann Florek,nein
./img/Usher1.jpg,Usher,nein
./img/NicoleKidman4.jpg,Nicole Kidman,ja
