,known
1,59.5238095238
10,76.1904761905
11,52.380952381
12,61.9047619048
13,45.2380952381
14,61.9047619048
15,64.2857142857
16,80.9523809524
17,64.2857142857
18,83.3333333333
19,69.0476190476
2,76.1904761905
20,78.5714285714
21,85.7142857143
22,85.7142857143
23,64.2857142857
24,92.8571428571
25,85.7142857143
26,83.3333333333
27,54.7619047619
3,95.2380952381
4,97.619047619
5,97.619047619
6,76.1904761905
7,76.1904761905
8,90.4761904762
9,85.7142857143
jb,88.0952380952
