img,descript,name,context,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,date,frameRate,expName,session,participant,
,,,,,,,,space,23.7048287671,,,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/BarackObama2.jpg,Präsident der USA Demokratische Partei,Barack Obama,Politiker,0,0,0,2,,,ja,8.416,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/SahraWagenknecht6.jpg,Fraktionsvorsitzende DIE LINKE,Sahra Wagenknecht,Politikerin  ,0,1,1,35,,,ja,8.072,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/CarenMiosga4.jpg,"tagesthemen" früher "ttt - titel thesen temperamente",Caren Miosga,Moderatorin,0,2,2,3,,,nein,5.024,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/AngelaMerkel1.jpg,Bundeskanzlerin CDU,Angela Merkel,Politikerin,0,3,3,1,,,ja,2.37,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/DannFlorek(DonaldDonCragen)1.jpg,"Law & Order: Special Victims Unit" (Donald 'Don' Cragen),Dann Florek,Schauspieler,0,4,4,20,,,nein,10.169,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/JimParsons(SheldonCooper)1.jpg,"The Big Bang Theory" (Dr. Sheldon Cooper),Jim Parsons,Schauspieler,0,5,5,26,,,ja,5.481,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/UrsulavonderLeyen1.jpg,Bundesministerin der Verteidigung CDU,Ursula von der Leyen,Politikerin,0,6,6,40,,,ja,7.398,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/BritneySpears5.jpg,"…Baby One More Time" "Oops! …I Did It Again" "Toxic",Britney Spears,Sängerin,0,7,7,17,,,ja,7.52,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/KatjaBurkard5.jpg,"Punkt 12" bei RTL,Katja Burkard,Moderatorin,0,8,8,8,,,ja,15.327,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/Beyonce2.jpg,"Crazy in Love" "Halo" "If I Were a Boy" "Single Ladies",Beyoncé,Sängerin,0,9,9,16,,,ja,9.125,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/MilaKunis5.jpg,"Black Swan" "Freunde mit gewissen Vorzügen" "Ted",Mila Kunis,Schauspielerin,0,10,10,33,,,nein,4.123,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/Shakira1.jpg,"Hips Don't Lie" "Waka Waka" "Whenever Wherever",Shakira,Sängerin,0,11,11,36,,,ja,7.147,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/GuentherJauch2.jpg,"Wer wird Millionär?" früher "stern TV",Günther Jauch,Moderator ,0,12,12,5,,,ja,2.164,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/JanHofer1.jpg,"Tagesschau" in der ARD,Jan Hofer,Nachrichtensprecher,0,13,13,25,,,nein,3.564,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/LeonardoDiCaprio1.jpg,"Django Unchained" "The Great Gatsby" "Titanic",Leonardo DiCaprio,Schauspieler,0,14,14,31,,,ja,8.496,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/JudithRakers7.jpg,"Tagesschau" in der ARD,Judith Rakers,Nachrichtensprecherin,0,15,15,29,,,nein,6.748,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/Ice-T(OdafinFinTutuola)1.jpg,"Law & Order: Special Victims Unit" (Odafin 'Fin' Tutuola),Ice-T,Schauspieler und Musiker,0,16,16,24,,,nein,20.74,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/EmilyDeschanel3.jpg,"Bones - Die Knochenjägerin" (Dr. Temperance 'Bones' Brennan),Emily Deschanel,Schauspielerin,0,17,17,4,,,nein,16.691,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
./img/TaylorSwift1.jpg,"Blank Space" "I Knew You Were Trouble" "Shake It Off",Taylor Swift,Sängerin,0,18,18,38,,,ja,8.426,2017_Feb_23_1752,60.0402332719,textInputTest,001,23,
