img,descript,name,context,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,date,frameRate,expName,session,participant,
./img/AlysonHannigan(Lily)1.jpg,"How I Met Your Mother" (Lily Aldrin),Alyson Hannigan,Schauspielerin,0,28,28,0,,,ja,2.713,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/OmarEpps(DrEricForeman)1.jpg,"Dr. House" (Dr. Eric Foreman),Omar Epps,Schauspieler,0,29,29,34,,,ja,2.534,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/JoshRadnor(Ted)1.jpg,"How I Met Your Mother" (Ted Mosby),Josh Radnor,Schauspieler,0,30,30,28,,,ja,2.489,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/HughLaurie(DrHouse)9.jpg,"Dr. House" (Dr. Gregory House),Hugh Laurie,Schauspieler ,0,31,31,6,,,ja,3.982,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/JimParsons(SheldonCooper)1.jpg,"The Big Bang Theory" (Dr. Sheldon Cooper),Jim Parsons,Schauspieler,0,32,32,26,,,ja,3.196,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/AngelaMerkel1.jpg,Bundeskanzlerin CDU,Angela Merkel,Politikerin,0,33,33,1,,,ja,2.432,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/DannFlorek(DonaldDonCragen)1.jpg,"Law & Order: Special Victims Unit" (Donald 'Don' Cragen),Dann Florek,Schauspieler,0,34,34,20,,,ja,3.373,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/JasonSegel(Marshall)2.jpg,"How I Met Your Mother" (Marshall Eriksen),Jason Segel,Schauspieler,0,35,35,7,,,ja,2.946,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/JudithRakers7.jpg,"Tagesschau" in der ARD,Judith Rakers,Nachrichtensprecherin,0,36,36,29,,,nein,8.931,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/Ice-T(OdafinFinTutuola)1.jpg,"Law & Order: Special Victims Unit" (Odafin 'Fin' Tutuola),Ice-T,Schauspieler und Musiker,0,37,37,24,,,ja,2.356,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/Shakira1.jpg,"Hips Don't Lie" "Waka Waka" "Whenever Wherever",Shakira,Sängerin,0,38,38,36,,,ja,2.046,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/UrsulavonderLeyen1.jpg,Bundesministerin der Verteidigung CDU,Ursula von der Leyen,Politikerin,0,39,39,40,,,ja,6.075,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/BastianSchweinsteiger1.jpg,Fußballspieler bei Manchester United früher FC Bayern München,Bastian Schweinsteiger,Sportler,0,40,40,14,,,ja,2.477,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
./img/EmmaWatson(HermioneGranger)1.jpg,"Harry Potter"-Filme (Hermione Granger),Emma Watson,Schauspielerin,0,41,41,22,,,ja,2.179,2017_Jan_25_1522,59.9962471573,textInputTest,001,4,
