num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,key_resp_6.rt,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,13.8429519596,,,,,,,,,,,,,,,,2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
69,./img/smoo15_BritneySpears5_1.png,0,0,0,68,,,None,None,1,2.74930046792,None,None,None,None,None,None,2,1.33323357202,Britney Spears,"['lshift', 'b', 'r', 'i', 'n', 'backspace', 't', 'e', 'n', 'backspace', 'backspace', 'backspace', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 't', 'backspace', 's', 'return']","[0.6168017293675803, 0.7501162010767075, 1.00005741888981, 1.1499617795498125, 1.5330015868785267, 1.8663926598774196, 2.016118348350574, 2.116239890346151, 2.2661301368661952, 2.7324071249468034, 2.8825867113446293, 3.282383531877713, 4.198467268506647, 4.414991655015001, 4.565201073573007, 4.815017509554309, 5.015015841519016, 5.231467732669444, 5.448079691003841, 5.697967018461895, 5.8147692289931, 6.247843664082211, 6.4644710196607775, 6.897391482309104, 7.2638337020653125, 7.84727666056915]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
40,./img/smoo15_NeilPatrickHarris(Barney)2_2.png,0,1,1,39,,,None,None,2,7.29750972031,None,None,None,None,None,None,1,1.71628492729,,['return'],[0.7833655873519092],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
47,./img/smoo15_BarackObama4_1.png,0,2,2,46,,,None,None,1,1.43308117138,None,None,None,None,None,None,4,1.16630819958,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[0.6166875331400661, 0.7501222958189828, 0.9499932797443762, 1.1161260148946894, 1.232969605519429, 1.5498432849253732, 1.733117964381563, 1.9496526157190601, 2.0329193078550816, 2.1494960129157334, 2.3493188804541205, 2.449307941994448, 2.599213585758662, 2.6994692120879336, 3.0491281150152645]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
4,./img/smoo15_UrsulavonderLeyen1_1.png,0,3,3,3,,,None,None,1,6.89769878564,None,None,None,None,None,None,4,1.28290383042,Von der Leyen,"['lshift', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'y', 'e', 'n', 'return']","[0.6001162491920695, 0.9333742001854262, 1.0332311020474663, 1.183368987576614, 1.3498019689859575, 1.5163783372317994, 1.599687692565567, 1.7163455539330243, 1.8663987546187855, 2.1662645740525477, 2.3160701357292055, 2.515906796631498, 2.7825482503112653, 2.9159345758262134, 3.032470863121489, 3.482225325194122]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
34,./img/smoo15_EmilyDeschanel5_1.png,0,4,4,33,,,None,None,2,2.28318386779,None,None,None,None,None,None,3,1.0,,['return'],[0.8000039134658437],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
57,./img/smoo15_UrsulavonderLeyen5_1.png,0,5,5,56,,,None,None,1,2.33298593301,None,None,None,None,None,None,4,0.866668527167,Von der Leyen,"['lshift', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'y', 'e', 'n', 'return']","[0.5335526799062791, 0.7666598982950745, 0.9500494155299748, 1.8328436688934744, 1.9661876519876387, 2.1495159010228235, 2.2494475436742505, 2.3659366769088592, 2.499480503400264, 2.8157777484802864, 2.9659188417681435, 3.199090856892326, 3.482276007789551, 3.6155648174253656, 3.7322403214684527, 5.248154495947347]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
70,./img/smoo15_JasonSegel(Marshall)7_1.png,0,6,6,69,,,None,None,2,1.76631410185,None,None,None,None,None,None,1,1.48324571339,,['return'],[0.6834843065189489],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
16,./img/smoo15_WillSmith4_1.png,0,7,7,15,,,None,None,2,2.39943819306,None,None,None,None,None,None,2,0.883355611221,,['return'],[0.6497280942921861],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
68,./img/smoo15_AlysonHannigan(Lily)8_3.png,0,8,8,67,,,None,None,2,2.93275414034,None,None,None,None,None,None,1,1.64925591214,,['return'],[0.5501573245492182],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
50,./img/smoo15_OmarEpps(DrEricForeman)2_2.png,0,9,9,49,,,None,None,2,1.38346804318,None,None,None,None,None,None,2,0.91658029775,,['return'],[0.5335581330973582],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
43,./img/smoo15_JoachimLoew1_1.png,0,10,10,42,,,None,None,1,1.06667969017,None,None,None,None,None,None,5,1.46639984526,Jogi Löw,"['lshift', 'j', 'o', 'g', 'i', 'space', 'lshift', 'l', u'\xf6', 'w', 'return']","[0.5835568339543897, 0.7667314313239331, 0.9168125395153766, 1.1333539271472546, 1.2666847584278003, 1.4664697744074147, 1.7330047304822074, 1.93291645294903, 2.099638132685868, 2.2162687281006583, 2.665940429987131]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
63,./img/smoo15_RobertSeanLeonard(Wilson)8_1.png,0,11,11,62,,,None,None,2,2.44912317507,None,None,None,None,None,None,1,1.24984338116,,['return'],[0.566943849137715],2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
8,./img/smoo15_AngelaMerkel4_1.png,0,12,12,7,,,None,None,1,1.34983148037,None,None,None,None,None,None,4,1.6663478154,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'a', 'r', 'backspace', 'backspace', 'e', 'r', 'k', 'e', 'l', 'return']","[0.5335392073175171, 0.783529183070641, 0.949966976118958, 1.1165677233348106, 1.2499550111770077, 1.4331709886409953, 1.5831109554274008, 1.7663840310051455, 1.8827650627545154, 1.9828760191448964, 2.1495515071492264, 2.266187234979043, 2.9326989668770693, 3.0491608341581014, 3.132444848194609, 3.232465987327487, 3.8655284895530713, 3.948771123495135, 4.032089139778691, 4.498497325210337]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
49,./img/smoo15_TomCruise5_1.png,0,13,13,48,,,None,None,1,1.7996132084,None,None,None,None,None,None,1,0.500136490153,Tom Hanks,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'h', 'a', 'n', 'k', 's', 'return']","[0.4502526270753151, 0.7667311105487897, 0.9001726095220874, 1.0332426499817302, 1.1833654590418519, 1.2999027086643764, 1.5664691007787042, 1.6331404507736806, 1.69949423261005, 1.7830810591121917, 1.8996773315038809, 2.2493750483172334]",2017_Feb_20_1110,60.0000577398,famFaceFilter,001,19,
