num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,11.80865524,,,,,,,,,,,,,,2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
71,./img/smoo15_AngelaMerkel1_1.png,0,0,0,70,,,1.ja,2.877,None,None,None,None,None,polit,1.153,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.4660915796011977, 1.632934512635984, 1.849498033803684, 2.066244397250557, 2.166006028663105, 2.3160909861653636, 2.4826397676843044, 2.616065227859508, 2.782551458072703, 2.9158296821042313, 3.0989815043831186, 3.1990196446386108, 3.382192638131528, 3.5488668430298276, 3.6655170057747455, 3.9820423225355626]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
56,./img/smoo15_MariskaHargitay(Liv)6_5.png,0,1,1,55,,,1.ja,18.182,None,act,0.837,None,None,None,None,None,Robin,"['lshift', 'r', 'o', 'b', 'i', 'n', 'return']","[0.8831281810962537, 1.066651141114562, 1.533022116538632, 1.8661841555294814, 2.032863172069483, 2.2495052833401132, 2.5491953175696835]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
39,./img/smoo15_BarackObama2_1.png,0,2,2,38,,,1.ja,1.69,None,None,None,None,None,polit,0.824,None,Obama,"['lshift', 'o', 'b', 'a', 'comma', 'a', 'backspace', 'm', 'a', 'return']","[0.533558453873411, 0.9168186342576519, 1.2334645627634018, 1.3664742973487591, 1.4999568556413578, 1.5998913852745318, 2.198976339888759, 2.9492198890075088, 3.0491666081252333, 3.298949683412502]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
2,./img/smoo15_WillSmith5_1.png,0,3,3,1,,,1.ja,1.589,None,act,0.573,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[0.5335401696429471, 0.7835012755640491, 0.9667948808018991, 1.149952156269137, 1.3000281320455542, 1.4165114913157595, 1.4996097760958946, 1.6497543979166949, 1.832927391405974, 2.0496631692476512, 2.3657682695520634, 2.5494301255421306, 2.932487254769512]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
20,./img/smoo15_NicoleKidman5_1.png,0,4,4,19,,,1.ja,1.89,None,act,0.607,None,None,None,None,None,Nicole Kidman,"['lshift', 'n', 'i', 'c', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'return']","[0.6504094223455468, 0.983287253871822, 1.2667630277537683, 1.4168383619762608, 1.6000472823689051, 1.783295337427262, 1.866596352585475, 1.983119167292898, 2.2664367986435536, 2.449411873392819, 2.6328636211546836, 2.7494114563851326, 2.8827259280915314, 2.99938731799557, 3.1326892794459127, 3.3992742765622097]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
11,./img/smoo15_LeonardoDiCaprio3_1.png,0,5,5,10,,,1.ja,1.623,None,act,0.608,None,None,None,None,None,Leonardo DiCaprio,"['lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'space', 'lshift', 'd', 'i', 'lshift', 'c', 'a', 'p', 'r', 'i', 'o', 'return']","[0.866668847942492, 1.1163348400186806, 1.2664945383112354, 1.499816997340531, 1.732870004598226, 1.8825751634103653, 2.0495310095684545, 2.2494379203963035, 2.3993458095937967, 2.56739935094447, 2.9490976733795833, 3.13216898090468, 3.3157285093766404, 4.031982962951588, 4.131986138632783, 4.398372896230285, 4.61500891275864, 4.748091142704652, 4.914975455831154, 5.097922302298684, 5.53118278742113]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
23,./img/smoo15_JoachimLoew4_1.png,0,6,6,22,,,1.ja,1.785,None,None,None,None,None,sport,1.673,None,Jogi Löw,"['lshift', 'j', 'o', 'g', 'i', 'space', 'lshift', 'l', u'\xf6', 'w', 'return']","[0.7500469134793093, 1.0333805836271495, 1.8495615474348597, 2.1994822035121615, 2.4992636588794994, 2.682690386121976, 2.982545940725686, 3.248809199598327, 3.4481156179062964, 3.5480860744428355, 3.7820452736705192]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
37,./img/smoo15_Ice-T(OdafinFinTutuola)5_1.png,0,7,7,36,,,1.ja,1.79,None,act,0.79,None,None,None,None,None,,['return'],[0.7002467729143973],2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
16,./img/smoo15_WillSmith4_1.png,0,8,8,15,,,1.ja,1.674,None,act,0.741,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[0.4334433273979812, 0.7166968035635364, 0.8998983461133321, 1.1000111950816063, 1.2496095355127181, 1.3165073533091345, 1.416403710609302, 1.5498221137168002, 1.6832065145754314, 1.933036743921548, 2.166223193959013, 2.3663142301666085, 2.682345231234649]",2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
61,./img/smoo15_OmarEpps(DrEricForeman)3_1.png,0,9,9,60,,,1.ja,2.173,None,act,3.073,None,None,None,None,None,,['return'],[1.0330800165902474],2017_Feb_24_1505,60.0121855439,famFaceFilter,001,25,
