num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,space,15.8584306808,,,,,,,,,,,,,,,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
50,./img/smoo15_OmarEpps(DrEricForeman)2_2.png,0,0,0,49,,,1.ja,12.604,None,act,1.019,None,None,None,None,None,Dr Haus,"['lshift', 'd', 'r', 'space', 'lshift', 'h', 'a', 'u', 's', 'return']","[0.7835535620406517, 0.9501135707141657, 1.1832862273904539, 1.9330983328954972, 2.099485122573242, 2.233009702509662, 3.6657303217607478, 4.165374100103691, 4.515252092983246, 4.915174336900236]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
46,./img/smoo15_NeilPatrickHarris(Barney)1_1.png,0,1,1,45,,,1.ja,1.502,None,act,0.64,None,None,None,None,None,How i met your mother,"['lshift', 'h', 'o', 'w', 'space', 'i', 'space', 'm', 'e', 't', 'space', 'y', 'o', 'u', 'r', 'space', 'm', 'o', 't', 'h', 'e', 'r', 'return']","[0.5333900465157058, 0.6835324229077742, 1.083274069982508, 1.4497586321604103, 1.583030440672701, 1.8662268187272275, 2.1492843008099953, 2.3660598548622147, 2.5826262630152996, 2.7993424735223016, 3.0656852848223934, 3.848804516268501, 4.165085401777105, 4.4819808939446375, 4.815103798276141, 4.982188275575936, 5.331601784925624, 5.564758402805637, 5.881393745703463, 6.147937041951991, 6.264434836136388, 6.4978153556075995, 7.114217398180699]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
4,./img/smoo15_UrsulavonderLeyen1_1.png,0,2,2,3,,,1.ja,1.902,None,None,None,None,None,polit,1.806,None,von der line,"['v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'l', 'i', 'n', 'd', 'backspace', 'e', 'return']","[0.6668315454890035, 0.8502168926370359, 1.1334892945851607, 1.3000768899873947, 1.516535517432203, 1.7331073787763671, 1.9326312831581163, 2.0662213013811197, 2.366350798619351, 2.5828418244318527, 2.7827545092268338, 2.9991974186523294, 3.499149783428038, 3.715589164317862, 4.332172124508361]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
68,./img/smoo15_AlysonHannigan(Lily)8_3.png,0,3,3,67,,,1.ja,1.517,None,act,1.84,None,None,None,None,None,Lilly How i met your mother,"['lshift', 'l', 'i', 'l', 'l', 'y', 'space', 'lshift', 'h', 'o', 'w', 'space', 'i', 'space', 'm', 'e', 't', 'space', 'y', 'o', 'u', 'r', 'space', 'm', 'o', 't', 'h', 'e', 'r', 'return']","[0.4325457963759618, 0.615914463176523, 0.8657177473442061, 1.2155617379767136, 1.3823023434924835, 1.6820440226447317, 1.8320478238401847, 2.16536511837694, 2.331827931947373, 2.6651327162244343, 3.048156484757783, 3.1814869952631852, 3.481336775899763, 3.847999047936355, 4.064506433321185, 4.281084389407624, 4.547630572638809, 4.7975031444057095, 5.365417019920642, 5.630494370221641, 5.880414737600404, 6.2301955353759695, 6.363421152155752, 6.663391544539081, 6.8965010083584275, 7.263002571659854, 7.529822055974364, 7.662834677544197, 7.929604120815384, 8.995796552364482]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
7,./img/smoo15_LisaEdelstein(DrLisaCuddy)2_2.png,0,4,4,6,,,1.ja,1.919,None,dummy,0.823,None,None,None,None,None,Robin how i met your mother,"['lshift', 'r', 'o', 'b', 'i', 'space', 'backspace', 'backspace', 'i', 'n', 'space', 'h', 'o', 'w', 'space', 'i', 'space', 'm', 'e', 't', 'space', 'y', 'o', 'u', 'r', 'space', 'm', 'o', 't', 'h', 'e', 'r', 'return']","[0.749994947779669, 0.9499948836237309, 1.4164210325070599, 1.7830800967849427, 2.0995624295692323, 2.415995042087161, 3.1323797306831693, 3.715481704384729, 4.648463274846108, 4.948382984634009, 5.181660535035007, 5.681409207102661, 6.031227535661856, 6.4644893038876035, 6.614390136011934, 7.497221920158154, 7.763827126158503, 8.01367275274788, 8.230355923335992, 8.413649849347166, 8.663423301355579, 9.2298070757397, 9.579872722531036, 10.096324196672867, 10.329392601174732, 10.529507374798413, 10.896012787411564, 11.212365205949027, 11.72888532613797, 11.962115722479211, 12.128766510737478, 12.345166436189174, 13.361474363107845]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
39,./img/smoo15_BarackObama2_1.png,0,5,5,38,,,1.ja,1.485,None,None,None,None,None,polit,1.141,None,obarma,"['b', 'backspace', 'o', 'b', 'a', 'r', 'm', 'a', 'return']","[0.9168824686657899, 1.6001159284169262, 2.1663142943207276, 2.6495859905608086, 3.0493529789337117, 3.282681853482245, 3.6991891747111367, 3.9489623059425867, 4.515457710346709]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
42,./img/smoo15_OmarEpps(DrEricForeman)1_5.png,0,6,6,41,,,1.ja,1.686,None,act,1.107,None,None,None,None,None,Dr Hous,"['lshift', 'd', 'r', 'space', 'lshift', 'h', 'o', 'u', 's', 'return']","[0.46696216544205527, 0.7167923947872623, 0.9333206306064312, 1.1999768399782624, 1.4498205419122314, 1.683139472406765, 2.082669086599708, 2.7493338286112703, 3.332488409563666, 3.965637842063188]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
49,./img/smoo15_TomCruise5_1.png,0,7,7,48,,,1.ja,1.405,None,act,0.707,None,None,None,None,None,Tom Cruse,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 's', 'e', 'return']","[0.5668216335134275, 0.7502015274712903, 1.1833221542929095, 1.5498031879351402, 1.7498021614528625, 2.3158783117305575, 2.499448746584676, 2.949329273593321, 3.2323578858431574, 3.5322156858783273, 3.7656006962124593, 4.3986808411136735]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
12,./img/smoo15_MariskaHargitay(Liv)8_8.png,0,8,8,11,,,1.ja,1.983,None,dummy,1.857,None,None,None,None,None,Penelope cruse,"['lshift', 'p', 'e', 'n', 'e', 'l', 'o', 'p', 'e', 'space', 'c', 'r', 'u', 's', 'e', 'return']","[0.7501986404877243, 1.4331462888949318, 2.4658285433470155, 2.899186544348595, 3.282090342688207, 3.6489598359676165, 3.91554675774114, 4.2484595538453505, 4.48191609720925, 4.61525398556023, 4.98161023737066, 5.381565841983502, 5.5648732405843475, 5.864658224485538, 6.097688777429539, 6.48099097946033]",,,2017_Feb_24_1121,60.0113768708,famFaceFilter,001,24,
