num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
71,./img/smoo15_AngelaMerkel1_1.png,0,48,48,70,,,None,None,1,None,None,None,None,None,None,4,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.7832944974525162, 0.9833578837697132, 1.1165320242052985, 1.333302966069823, 1.4496274449920747, 1.599879642983069, 1.716524582087004, 1.8494709680398955, 1.9663215277378185, 2.066250570989723, 2.182867922931109, 2.3327249187786947, 2.4663795890919573, 2.5493986640121875, 2.6660224315710366, 3.015882506915659]",1.63275904987,1.11657212183,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
63,./img/smoo15_RobertSeanLeonard(Wilson)8_1.png,0,49,49,62,,,None,None,2,None,None,None,None,None,None,1,,['return'],[0.8666439767603151],1.88286394525,2.51583631446,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
39,./img/smoo15_BarackObama2_1.png,0,50,50,38,,,None,None,1,None,None,None,None,None,None,4,Barak Obama,"['lshift', 'b', 'lshift', 'r', 'a', 'backspace', 'backspace', 'r', 'a', 'k', 'space', 'backspace', 'backspace', 'backspace', 'backspace', 'a', 'r', 'a', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return', 'plus']","[1.0001045745921147, 1.599817090696888, 1.8163140856195241, 2.3328410414851533, 2.4830091948660993, 2.8494286249533616, 2.9823987486979604, 3.549019500915165, 3.6824274906721257, 4.5987225860590115, 4.88192790640278, 5.331705476884963, 5.448384739551329, 5.581681097532055, 5.931468034817954, 6.2811991562175535, 6.447954893064889, 6.597850382628167, 6.7811122245766455, 7.197385827639664, 7.4307555803061405, 7.597516449646719, 7.880485995985509, 8.013972577076856, 8.180504408814159, 8.26379871379686, 8.697083010412825]",1.13369829652,1.33320288241,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
3,./img/smoo15_JoshRadnor(Ted)3_1.png,0,51,51,2,,,None,None,1,None,None,None,None,None,None,1,Ted Mosby,"['lshift', 't', 'e', 'd', 'space', 'lshift', 'm', 'o', 's', 'b', 'y', 'return']","[0.616753042286291, 0.7999940334739222, 0.999957656913466, 1.1500353500614438, 1.299856097661177, 1.5831040818738984, 1.666526378459821, 1.8497073836078926, 2.049574131197005, 2.166207522184777, 2.2996030014837743, 2.8492971047598985]",1.58304345427,0.200272214723,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
37,./img/smoo15_Ice-T(OdafinFinTutuola)5_1.png,0,52,52,36,,,None,None,1,None,None,None,None,None,None,1,Ice T,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 't', 'return']","[0.5835470803795033, 0.8000184128268302, 1.050071341684088, 1.1999254505044519, 1.3999230767240078, 1.6327792590727768, 1.716320886176618, 2.0329442046422628]",1.36647300051,0.133372062288,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
44,./img/smoo15_GuentherJauch2_1.png,0,53,53,43,,,None,None,1,None,None,None,None,None,None,3,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.6835383551369887, 0.9167640771502192, 1.2496984658955625, 1.5332043580001482, 1.7496686332669924, 1.9331466815838212, 2.016223497075771, 2.1329791056105023, 2.2329386230539967, 2.399404053130638, 2.482860352498392, 2.5662255500737956, 2.6994535817102587, 2.7827116384451074, 2.88260443344916, 3.482298665037888]",1.25002630404,1.44963129436,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
12,./img/smoo15_MariskaHargitay(Liv)8_8.png,0,54,54,11,,,None,None,1,None,None,None,None,None,None,1,Olivia Benson,"['lshift', 'o', 'l', 'i', 'v', 'i', 'a', 'space', 'lshift', 'b', 'e', 'n', 's', 'o', 'n', 'return']","[0.5001125941180362, 0.7000691603752784, 0.8668027633357269, 1.0333576913017168, 1.2499461087991222, 1.4497852692256856, 1.5665177815317293, 1.7163202446154173, 1.9496694672998274, 2.099596714177096, 2.2995808675987064, 2.399672867577465, 2.5660847272338287, 2.749499581703276, 2.915989070352225, 3.715793201497945]",1.76566341352,0.183798829277,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
41,./img/smoo15_AngelaMerkel3_1.png,0,55,55,40,,,None,None,1,None,None,None,None,None,None,4,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[0.449882145076117, 0.7335651082703407, 0.8835080734152143, 1.0834675267033163, 1.2166172877841746, 1.3332433008108637, 1.449839801989583, 1.849838262240155, 2.0329554319778254, 2.1495721423561918, 2.282991038664477, 2.4494234283029073, 2.549398984792788, 2.6328225645029306, 2.7494055928800663, 3.0326301600834995]",1.23315386708,1.48230347675,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
65,./img/smoo15_UrsulavonderLeyen4_1.png,0,56,56,64,,,None,None,1,None,None,None,None,None,None,4,Ursula von der Leyen,"['lshift', 'u', 'r', 's', 'u', 'l', 'a', 'space', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'backspace', 'e', 'y', 'e', 'n', 'return']","[0.9666192124695954, 1.2832848740235931, 1.5165994523631525, 1.6830222185726598, 1.9996211576853966, 2.5493733223156596, 2.6827752172321198, 2.8491549987938924, 3.215910928109224, 3.482505247977315, 3.632309956527024, 3.798960156438625, 3.9155556952737243, 4.065343402433427, 4.198869760364687, 4.298672415916371, 4.648632895703486, 4.814868325831412, 5.214729812612859, 5.748064086903469, 5.981377382118808, 6.564477293841264, 6.7976866560256894, 6.897576243218282, 7.347512600275877]",1.60012888979,3.4154979547,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
25,./img/smoo15_JasonSegel(Marshall)6_1.png,0,57,57,24,,,None,None,1,None,None,None,None,None,None,2,,"['plus', 'return']","[0.11699715659779031, 0.5500941171339946]",2.44966722183,2.6658838542,2017_Feb_28_1246,60.0506619767,famFaceFilter,001,26,
