num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
46,./img/edges5_TomCruise5_1.png,0,6,6,45,,,2.nein,3.438,None,act,2.639,None,None,None,None,None,,['return'],[0.5833831875770557],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
1,./img/edges5_BastianSchweinsteiger6_2.png,0,7,7,0,,,1.ja,5.137,None,None,None,None,None,sport,1.2,None,Schweini,"['lshift', 's', 'c', 'h', 'w', 'e', 'i', 'n', 'i', 'return']","[0.15048849674167286, 0.36704218005797884, 0.600232371565653, 0.7169018878103088, 0.8667998322980566, 1.0167632154916646, 1.1166608552393882, 1.2834432692925475, 1.3833373804827716, 1.6498689140807983]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
19,./img/edges5_HughLaurie(DrHouse)2_1.png,0,8,8,18,,,2.nein,2.921,None,dummy,0.921,None,None,None,None,None,,['return'],[0.6832202002860868],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
56,./img/edges5_NeilPatrickHarris(Barney)1_1.png,0,9,9,55,,,1.ja,3.239,None,act,0.523,None,None,None,None,None,,['return'],[0.9334193232170946],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
40,./img/edges5_NicoleKidman3_1.png,0,10,10,39,,,1.ja,4.621,None,act,0.934,None,None,None,None,None,Scarlett Johannsson,"['lshift', 's', 'c', 'a', 'r', 'l', 'e', 'z', 'backspace', 't', 't', 'space', 'lshift', 'j', 'o', 'h', 'a', 'n', 'n', 's', 'o', 's', 'backspace', 'backspace', 's', 'o', 'n', 'return']","[0.8333285751268704, 0.950187350377746, 1.2167416592110385, 1.299968788303886, 1.4334669587460667, 2.0332640345986874, 2.1498074850987905, 2.366356677523072, 2.7496327894114074, 2.8660742325155297, 3.0327199951498187, 3.182595485179263, 3.599175728912087, 3.7490422371574823, 3.9155600093799876, 4.098889434568264, 4.23223587702887, 4.348978209873167, 4.46547803456815, 4.548753280356323, 4.715406741663173, 4.865341575618004, 5.048638923008184, 5.181805409023582, 5.281825906735321, 5.615033067399054, 5.748283918021116, 5.998277743045037]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
31,./img/edges5_GeorgeClooney4_2.png,0,11,11,30,,,1.ja,5.314,None,None,None,None,None,polit,0.734,None,,['return'],[0.8165393766194029],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
65,./img/edges5_LisaEdelstein(DrLisaCuddy)1_1.png,0,12,12,64,,,2.nein,3.406,None,dummy,7.771,None,None,None,None,None,,['return'],[0.683655496000938],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
58,./img/edges5_HughLaurie(DrHouse)5_3.png,0,13,13,57,,,2.nein,3.122,None,act,1.922,None,None,None,None,None,,['return'],[0.766733784110329],2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
34,./img/edges5_KatjaBurkard1_1.png,0,14,14,33,,,1.ja,1.722,None,None,None,host,0.739,None,None,None,Katja Burkhardt,"['lshift', 'k', 'a', 't', 'j', 'a', 'space', 'lshift', 'b', 'u', 'r', 'k', 'h', 'a', 'r', 't', 's', 'backspace', 'backspace', 'd', 't', 'return']","[0.4668625123140373, 0.7167071755775396, 0.8832826878369815, 1.0500234007522522, 1.2666171813161782, 1.4164115145176766, 1.4998545271864714, 1.8329038650845177, 2.0827270362260606, 2.349275250278879, 2.4493262218984455, 3.315671832580847, 3.6986823403058224, 3.78209680373584, 4.032393443168985, 4.1153289850808505, 4.5818553220742615, 4.698556916117013, 5.081656920896421, 5.214991494571223, 5.848140818965476]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
16,./img/edges5_BritneySpears7_1.png,0,15,15,15,,,1.ja,1.449,None,None,None,music,0.822,None,None,None,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.3668493924942595, 0.616952923586723, 0.8000975806608039, 0.9334815541442367, 1.1500310673472995, 1.4333165138759796, 1.566468564880779, 1.882997516217074, 1.982910553306283, 2.1163554746053705, 2.2995174536899867, 2.5495298838377494, 2.6825260367459123, 2.9325580343502224, 3.1325598948624247, 3.2492053527585085, 3.682242148237492]",2017_Feb_07_1327,60.0175773654,famFaceFilter,001,12,
