num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
65,./img/edges5_LisaEdelstein(DrLisaCuddy)1_1.png,0,35,35,64,,,None,None,1,None,None,None,None,None,None,1,,['return'],[0.4168556838776567],0.733290221051,0.267015478401,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
44,./img/edges5_EmilyDeschanel5_1.png,0,36,36,43,,,None,None,2,None,None,None,None,None,None,1,,['return'],[0.5669550762941071],2.11613210964,1.16647949392,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
71,./img/edges5_HughLaurie(DrHouse)4_1.png,0,37,37,70,,,None,None,1,None,None,None,None,None,None,1,,['return'],[0.7668408159133833],0.833367495969,0.250312676328,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
69,./img/edges5_GuentherJauch2_1.png,0,38,38,68,,,None,None,1,None,None,None,None,None,None,3,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 'insert', 'backspace', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.8668616342692985, 1.2333317615302803, 1.4665785174438497, 1.6498798213015107, 2.0997478380504617, 2.4160110808825266, 2.9493953534329194, 3.1325558366625046, 3.2992370986321475, 3.382624723290064, 3.5489980403799564, 3.6488196568916464, 3.7989517684527527, 3.982286112230213, 4.182258461347374, 4.281946635075656, 4.381964887226786, 4.482065578786205, 4.765212557351333]",0.76723087943,1.08288111948,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
18,./img/edges5_JoshRadnor(Ted)6_2.png,0,39,39,17,,,None,None,2,None,None,None,None,None,None,1,,['return'],[0.5669335843085719],1.98278042792,1.73311764361,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
35,./img/edges5_WillSmith1_1.png,0,40,40,34,,,None,None,1,None,None,None,None,None,None,1,Will Smith ,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'space', 'return']","[0.6333386902915663, 0.9666107554239716, 1.1665167039245716, 1.34987735132745, 1.4831549338068726, 1.5831908286309044, 1.64957283874719, 1.966213955613057, 2.133931003025282, 2.2160797910855763, 2.432833532375298, 2.5994339588141884, 2.6826310425767588, 2.8659628201457963]",0.816705432437,0.466830968093,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
4,./img/edges5_LeonardoDiCaprio1_1.png,0,41,41,3,,,None,None,1,None,None,None,None,None,None,1,Leonardo di Caprio,"['lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'space', 'd', 'i', 'space', 'lshift', 'd', 'backspace', 'lshift', 'c', 'a', 'p', 'r', 'i', 'o', 'return']","[0.41652015226463845, 1.2998847452126938, 1.4999157963211474, 1.8164388676468661, 2.0495996556146565, 2.2161619097187213, 2.365987359504288, 2.6493178218916, 2.7492982224830484, 2.8492625842791313, 3.0991139848356397, 3.16580778914431, 3.2490279687717702, 3.7987929843729944, 4.13197234526524, 4.3984489201229735, 4.4986076721252175, 4.5818634578809, 4.865130727413998, 5.264909584495399, 5.448270552673421, 5.698110084520522, 5.881312268620604, 6.197963971089848]",1.48306158801,0.233547002174,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
39,./img/edges5_AlysonHannigan(Lily)8_3.png,0,42,42,38,,,None,None,1,None,None,None,None,None,None,1,,['return'],[0.6835574434280716],1.31621608877,0.333347447475,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
22,./img/edges5_JasonSegel(Marshall)6_1.png,0,43,43,21,,,None,None,1,None,None,None,None,None,None,1,,['return'],[0.25033865917612275],0.600079680738,0.183412613102,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
1,./img/edges5_BastianSchweinsteiger6_2.png,0,44,44,0,,,None,None,1,None,None,None,None,None,None,5,Sebastian Schweinsteiger,"['lshift', 's', 'e', 'b', 'a', 's', 't', 'i', 'o', 'backspace', 'a', 'n', 'space', 'lshift', 's', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'return']","[0.8001941335860465, 1.1500480682716443, 1.3166622880744399, 1.5166006349445524, 1.7997630107511213, 1.9996689592517214, 2.382853436520236, 2.532854992283319, 2.7160860462154233, 3.6654964761164592, 7.697427473367497, 7.847188767966145, 7.963879348479168, 8.04718036363738, 8.163688101876687, 8.347046183071143, 8.43034559435182, 8.563581796735889, 8.713742778130836, 8.7968619133444, 8.913550569201107, 9.19692754409698, 9.496608275825565, 9.679580142816121, 9.763199046910813, 9.963276610527828, 10.02952132855171, 10.213014777184071, 10.696183504354849]",1.19992134574,1.28299781776,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
16,./img/edges5_BritneySpears7_1.png,0,45,45,15,,,None,None,1,None,None,None,None,None,None,2,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.7666669553655083, 1.0665270008321386, 1.2498520421086141, 1.3665358863254369, 1.5664347777565126, 1.8662322719192161, 2.1495861509501992, 3.032504544593394, 3.1325285707098374, 3.249060687918245, 3.349184475344373, 3.5823888888353395, 3.815533317230802, 4.048771732970636, 4.198668715784152, 4.415213631951701, 4.581895856250412]",1.29982572244,0.600081605393,2017_Jan_25_1257,60.0010970739,famFaceFilter,001,3,
