,inner
,naming
10,71.25
11,21.8181818182
12,46.1538461538
13,69.4736842105
14,12.1428571429
15,50.3703703704
16,73.5294117647
17,35.7142857143
18,62.2857142857
19,47.3333333333
1,46.4
20,50.9090909091
21,57.7777777778
22,58.3333333333
23,17.7777777778
24,54.358974359
25,55.5555555556
26,77.7142857143
27,57.3913043478
2,70.0
3,36.5
4,49.2682926829
5,61.4634146341
6,39.375
7,66.875
8,72.6315789474
9,58.8888888889
JB,13.9130434783
JB*,68.5714285714
