num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,50.6777383146,,,,,,,,,,,,,,2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
25,./greyInner/BenedictCumberbatch6_5_cut.png,0,0,0,24,,,1.ja,7.001,None,act,5.469,None,None,None,None,None,Domenik Cumberbach,"['lshift', 'd', 'o', 'm', 'e', 'n', 'i', 'k', 'space', 'lshift', 'c', 'u', 'n', 'backspace', 'm', 'b', 'e', 'r', 'b', 'a', 'backspace', 'a', 'c', 'h', 'return']","[8.947108031328753, 9.180052107659321, 10.129950291782734, 10.796088204499029, 10.946323080318507, 11.096133883707807, 11.895840497440986, 12.062434881465379, 12.545646809897335, 13.96166442975391, 14.061623626415894, 14.544893936983499, 14.777805935217657, 15.294506754364193, 16.29412759126899, 21.24215433926838, 21.442122132859367, 21.6087123467305, 22.708375141784927, 23.657887747193854, 28.589205656523518, 31.55467583159225, 31.837938571728955, 31.971379601923218, 36.9026044847742]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
119,./greyInner/JudithRakers7_1_cut.png,0,1,1,118,,,1.ja,32.08,None,None,None,host,11.906,None,None,None,,['return'],[3.1658299629953035],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
179,./greyInner/Shakira7_1_cut.png,0,2,2,178,,,1.ja,2.945,None,None,None,music,7.777,None,None,None,,['return'],[36.63652598069166],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
6,./greyInner/AngelaMerkel1_1_cut.png,0,3,3,5,,,1.ja,3.241,None,None,None,None,None,polit,14.971,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.5498063766126506, 1.8164561915864397, 2.0663670144795105, 2.5995267839271037, 2.7492958857919803, 3.0492899192659024, 3.1991873335155105, 3.532311945370566, 3.764987848817327, 4.031614888343029, 4.931783362503666, 5.0983463099928485, 5.1983667758177035, 5.314992788844393, 5.4315617028596535, 6.397732784327673]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
185,./greyInner/SigmarGabriel8_2_cut.png,0,4,4,184,,,1.ja,1.72,None,None,None,None,None,polit,1.419,None,Sigmar Gabriell,"['lshift', 's', 'i', 'g', 'm', 'a', 'r', 'space', 'lshift', 'g', 'a', 'b', 'r', 'i', 'e', 'l', 'l', 'return']","[1.833043133490719, 2.2504930403365506, 2.9994216319282714, 3.2158535083171955, 3.8323884195506253, 4.048936097866317, 4.1988941397166855, 4.598816574880402, 4.815087740008494, 4.981919501942684, 5.165300674409991, 5.831692324866708, 5.998225118945811, 6.148269771655578, 6.281478877215704, 6.9478246559947365, 7.914092934093787, 9.679999820362355]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
92,./greyInner/JanHofer3_1_cut.png,0,5,5,91,,,1.ja,3.029,None,None,None,None,None,polit,1.364,None,,['return'],[1.250180278899279],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
82,./greyInner/HughLaurie(DrHouse)4_1_cut.png,0,6,6,81,,,1.ja,2.357,None,act,1.041,None,None,None,None,None,Dr House,"['lshift', 'd', 'r', 'period', 'period', 'space', 'lshift', 'h', 'o', 'u', 'e', 's', 'e', 'backspace', 'backspace', 'backspace', 's', 'e', 'return']","[1.1331327596917617, 1.3498007308680826, 1.482605973198588, 2.2327272284019273, 3.8655446604088866, 4.098700131392434, 5.048400393662632, 5.1648175782838734, 6.04793333658381, 6.247931604367295, 6.380939901046077, 6.514431935413086, 6.647605434286561, 7.230751217684883, 7.380354475792956, 7.547419445485502, 8.230488177297048, 8.396983440004078, 9.24681272037651]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
95,./greyInner/JanHofer9_2_cut.png,0,7,7,94,,,2.nein,4.21,None,None,None,None,None,sport,3.462,None,,['return'],[1.1999122984852875],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
80,./greyInner/GeorgeClooney4_2_cut.png,0,8,8,79,,,1.ja,1.485,None,act,0.751,None,None,None,None,None,George Clooney,"['lshift', 'g', 'e', 'o', 'r', 'g', 'e', 'space', 'lshift', 'c', 'l', 'l', 'o', 'n', 'e', 'y', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'o', 'o', 'n', 'e', 'y', 'return']","[0.8832273900752625, 1.099930005594615, 1.3664967382992472, 1.8330052813380462, 2.3328256439999677, 2.449540192571476, 2.6327526342538476, 3.032612517130474, 3.232108762709686, 3.6489264102820016, 4.015464850105673, 4.132136414028537, 4.315334420567524, 4.498544296001455, 4.698491238830684, 4.898375308591312, 5.598206770275283, 5.748113487171395, 5.914716532281091, 6.064742900476631, 6.214618822400553, 6.7477760256015245, 6.864388565827539, 7.097725278053076, 7.247594463578025, 7.4807929192102165, 9.79658381108311]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
208,./greyInner/WillSmith4_1_cut.png,0,9,9,207,,,1.ja,1.89,None,act,1.057,None,None,None,None,None,Will Smith,"['lshift', 'w', 'i', 'l', 'l', 'space', 'lshift', 's', 'm', 'i', 't', 'h', 'return']","[0.933197364976877, 1.166562947489183, 1.5163588666418946, 1.7830622520359611, 1.9329044919595617, 2.2328513706324884, 2.4493470824327233, 2.7993316207903263, 2.999214728208244, 3.1824592479861167, 3.448975297299512, 3.5824987682008214, 4.6651880802928645]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
43,./greyInner/CobieSmulders(Robin)3_4_cut.png,0,10,10,42,,,1.ja,4.307,None,dummy,2.958,None,None,None,None,None,,['return'],[3.2826439536638645],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
182,./greyInner/SigmarGabriel11_3_cut.png,0,11,11,181,,,1.ja,3.27,None,None,None,None,None,polit,1.775,None,,['return'],[4.665440855689667],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
160,./greyInner/NicoleKidman8_2_cut.png,0,12,12,159,,,1.ja,3.243,None,None,None,music,3.126,None,None,None,,['return'],[0.8666789418848566],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
74,./greyInner/GuentherJauch7_1_cut.png,0,13,13,73,,,1.ja,1.311,None,None,None,host,1.144,None,None,None,Günter Jauch,"['lshift', 'g', u'\xfc', 'm', 'backspace', 'n', 't', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.8835202630916683, 1.0836365782679422, 1.4335200706227624, 2.383087529576187, 2.7828421962967695, 3.3159567356296975, 4.015446886371137, 4.2489622735929515, 4.398886954222689, 4.5154821722771885, 5.13199110025289, 5.298508817626498, 5.448498616792676, 5.598479754871732, 5.6650555977557815, 5.781713368097371, 6.864562749888137]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
105,./greyInner/JimParsons(SheldonCooper)9_3_cut.png,0,14,14,104,,,2.nein,3.607,None,act,5.591,None,None,None,None,None,,['return'],[1.0500370181225662],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
178,./greyInner/Shakira3_1_cut.png,0,15,15,177,,,1.ja,1.88,None,None,None,music,9.393,None,None,None,,['return'],[0.8336285587438397],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
120,./greyInner/JudithRakers8_1_cut.png,0,16,16,119,,,2.nein,3.623,None,act,0.708,None,None,None,None,None,,['return'],[1.0497858466305843],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
37,./greyInner/CarenMiosga13_1_cut.png,0,17,17,36,,,1.ja,15.221,None,None,None,music,0.86,None,None,None,,['return'],[0.9168291956866597],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
90,./greyInner/Ice-T(OdafinFinTutuola)7_1_cut.png,0,18,18,89,,,1.ja,1.942,None,act,1.125,None,None,None,None,None,Ice T,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 't', 'backspace', 'lshift', 'c', 'u', 'b', 'e', 'backspace', 'backspace', 'backspace', 'backspace', 'lshift', 't', 'return']","[1.8662433213403347, 2.0495282595193203, 2.3661477286141235, 2.515999271186047, 2.9492344883155965, 3.2156270369596314, 3.34911746742182, 4.048747157880825, 4.415162738597246, 4.665268275532981, 4.915195458254857, 5.065112440142002, 5.181466751695552, 7.264279564456956, 7.41410127439849, 7.580619312553608, 7.7306418313773975, 8.263809299568493, 8.413679126654642, 10.379407530397657]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
224,./greyInner/notfamousface9_1_cut.png,0,19,19,223,,,2.nein,3.193,None,None,None,host,2.676,None,None,None,,['return'],[0.8000761534003686],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
28,./greyInner/Beyonce3_2_cut.png,0,20,20,27,,,1.ja,2.078,None,None,None,music,6.009,None,None,None,Kate Perry,"['lshift', 'k', 'a', 't', 'e', 'space', 'lshift', 'p', 'e', 'r', 'r', 'y', 'return']","[4.431995719498445, 4.598628918018221, 4.765253776233294, 4.9320027766798376, 5.05017046300236, 5.265125784630072, 5.49843683437939, 5.681632916232047, 5.881680905064059, 6.014848309098852, 6.164842919978582, 6.264826816774985, 6.797528190230878]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
107,./greyInner/JoachimLoew12_1_cut.png,0,21,21,106,,,2.nein,2.246,None,None,None,None,None,polit,1.68,None,,['return'],[0.9505808060066556],2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
123,./greyInner/KaleyCuoco(Penny)3_1_cut.png,0,22,22,122,,,1.ja,1.629,None,dummy,1.313,None,None,None,None,None,Penny,"['lshift', 'c', 'a', 'l', 'y', 'e', 'space', 'lshift', 'c', 'o', 'c', 'o', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'y', 'l', 'y', 'space', 'backspace', 'backspace', 'backspace', 'backspace', 'i', 'l', 'y', 'space', 'lshift', 'c', 'o', 'c', 'o', 'space', 'lshift', '8', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'lshift', 'p', 'e', 'n', 'n', 'y', 'return']","[0.9665900214022258, 1.1332488823991298, 1.6496844156908992, 1.8662798903696967, 2.049531146548361, 2.2328840902910088, 2.3661374636230903, 2.798899528836955, 2.8991910545737483, 3.1657744678886957, 3.2823998393523652, 3.415765806802483, 9.146756968645605, 10.59598632446614, 10.912681177086597, 11.07930346905323, 11.24604284607085, 11.379086749436283, 11.529271904207235, 11.67912857927422, 12.428795608636392, 12.64530286855188, 12.961856256768442, 13.24524538460355, 13.594942503220409, 13.728403101053118, 13.861527199658667, 14.028231932333256, 14.927773600496948, 15.127691352258807, 15.29428156612903, 15.427559318814929, 15.910678862331224, 16.094048486683278, 16.377248032970783, 16.44385242536009, 16.593742461647707, 18.259676036892415, 18.542955136857927, 18.626431966207747, 19.892442785508138, 22.108416265904452, 22.24153843982367, 22.424781676478233, 22.591469086980396, 22.758174140435585, 22.907923033098996, 23.041352835960424, 23.191196359007336, 23.324559760209922, 23.441161073102194, 23.59108543295133, 23.757749105662697, 23.990905859769555, 24.190761059244323, 24.390716021597655, 24.524080385142042, 24.65705211279146, 24.757317976052036, 25.273743565133373]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
144,./greyInner/MariskaHargitay(Liv)6_5_cut.png,0,23,23,143,,,1.ja,3.236,None,act,0.765,None,None,None,None,None,Agent Benson,"['lshift', 'v', 'i', 'c', 't', 'o', 'r', 'i', 'a', 'space', 'lshift', 'b', 'e', 'n', 's', 'o', 'n', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'lshift', 'a', 'g', 'e', 'n', 't', 'space', 'lshift', 'b', 'e', 'n', 's', 'o', 'n', 'return']","[3.665646797066074, 3.782426784952804, 3.982249585550562, 4.6152424847432485, 4.748533068666802, 5.115107435958635, 6.2482122877063375, 6.398010580638584, 6.5646046438814665, 6.764514696899823, 7.114441815466307, 7.280811332036137, 7.4477069293816385, 7.563763556203412, 8.31387871656807, 8.430342093646686, 8.58043678818649, 12.312261018184472, 13.511936580320253, 14.578175923977142, 15.527748836206229, 15.694080500623386, 15.827657541944973, 15.994206375072281, 16.12735902318309, 16.29419367214632, 16.46071331420626, 16.577236677324436, 16.72733842904563, 16.877091171080792, 16.993841326338952, 17.227193756832094, 17.6434266207134, 17.893470567704753, 18.09301781745762, 18.193149594276292, 18.326645157233543, 18.543169739320547, 18.92639584627068, 19.126300446013374, 19.426259514362755, 19.6594698388908, 19.926035288471212, 20.159292126238142, 20.2425424842304, 20.392557625091285, 22.05854444997567]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
57,./greyInner/ElvisPresley2_1_cut.png,0,24,24,56,,,1.ja,3.328,None,dummy,3.267,None,None,None,None,None,Elvis,"['backspace', 'lshift', 'e', 'l', 'v', 'i', 's', 'space', 'backspace', 'backspace', 's', 'return']","[4.898193746567813, 6.6310464003245215, 6.714636465352669, 7.747536723004487, 8.030857845275932, 8.147290427382359, 8.28057716193507, 8.363884298157245, 9.096948025785423, 9.24699139537097, 10.279597496882161, 10.6128237963012]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
102,./greyInner/JimParsons(SheldonCooper)10_1_cut.png,0,25,25,101,,,1.ja,2.878,None,act,3.961,None,None,None,None,None,Sheldon Cooper,"['lshift', 's', 'h', 'e', 'l', 'd', 'o', 'n', 'space', 'lshift', 'c', 'o', 'o', 'p', 'e', 'r', 'return']","[0.867527407525813, 1.1842575460514126, 1.4008251127870608, 1.8006429733577534, 2.035072586316346, 2.233830073343597, 2.3504063653208505, 2.550108552277379, 2.7168626852189846, 2.866754004629911, 3.0000776289925852, 3.283215585335711, 3.416576099509257, 3.5831451418371216, 3.6831810051480716, 3.8330893259499135, 4.449529286019242]",2017_Feb_28_1210,60.0351653599,famFaceGrey,001,26,
