num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,key_resp_6.rt,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
73,./greyInner/GuentherJauch4_1_cut.png,0,10,10,72,,,None,None,1,2.01617105935,None,None,None,None,None,None,3,1.93298883917,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.9500397925085053, 1.0833461377214917, 1.4333347982192208, 1.7163196757837795, 1.86634721457267, 2.01615630355991, 2.1828104064225045, 2.332820943979641, 2.466048698587656, 2.6492908721666026, 2.7158401127089746, 2.7826876767685462, 2.9157928941904174, 3.0158486774807898, 3.132522043060817, 4.031989583697396]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
224,./greyInner/notfamousface9_1_cut.png,0,11,11,223,,,None,None,2,5.81463170999,None,None,None,None,None,None,3,4.64863680587,,['return'],[0.9666920188192307],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
55,./greyInner/DannFlorek(DonaldDonCragen)8_1_cut.png,0,12,12,54,,,None,None,2,5.4314925703,None,None,None,None,None,None,3,5.79807700019,,['return'],[1.0163292028892101],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
81,./greyInner/HughLaurie(DrHouse)2_1_cut.png,0,13,13,80,,,None,None,2,6.46446116838,None,None,None,None,None,None,1,1.38320233295,,['return'],[0.766552865333324],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
34,./greyInner/BritneySpears7_1_cut.png,0,14,14,33,,,None,None,1,5.49813868579,None,None,None,None,None,None,1,1.29979364353,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[0.8166619138055466, 0.9002829582523191, 1.1998356975200295, 1.5998009251870826, 1.7996610018344654, 1.983035977495092, 2.1497577645104684, 2.332952783726796, 2.5161904664137182, 2.616156111093005, 2.6829395195572943, 2.9161117474986895, 3.0993359575104478, 3.3492107739057246, 3.515667919090447, 3.6990400077493177, 4.632105192079507]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
62,./greyInner/EmilyDeschanel3_1_cut.png,0,15,15,61,,,None,None,2,3.19901643057,None,None,None,None,None,None,1,1.84992049518,,['return'],[1.9164613954926608],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
27,./greyInner/Beyonce11_2_cut.png,0,16,16,26,,,None,None,2,3.53223706391,None,None,None,None,None,None,2,1.53300340249,,['return'],[0.8165589440759504],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
197,./greyInner/UrsulavonderLeyen4_1_cut.png,0,17,17,196,,,None,None,2,5.06501143092,None,None,None,None,None,None,3,6.94725960979,,['return'],[0.8667741700583065],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
138,./greyInner/LisaEdelstein(DrLisaCuddy)2_2_cut.png,0,18,18,137,,,None,None,2,5.91478982146,None,None,None,None,None,None,2,3.34877291197,,['return'],[0.6168342357350411],2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
69,./greyInner/EmmaWatson(HermioneGranger)4_1_cut.png,0,19,19,68,,,None,None,2,3.48247990887,None,None,None,None,None,None,1,2.21602183343,,"['lshift', 'a', 'u', 's', 'space', 'lshift', 't', 'w', 'i', 'l', 'i', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'return']","[1.9161248993959816, 1.9994033529637818, 2.1827263625928026, 2.282745897971836, 2.7659421040661982, 3.132160205503169, 3.2157132450192876, 3.399021178082876, 3.5153644631254792, 4.16532479892885, 4.381752416500603, 7.263856566052709, 8.363739770791653, 8.530201086090528, 8.680225417099791, 8.846728112757773, 8.97973036044823, 9.14664397269462, 9.279788645806548, 9.44655534173944, 9.86309484666981]",2017_Mrz_01_1615,60.0178084617,famFaceGrey,001,27,
