num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,35.0505026398,,,,,,,,,,,,,,2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
147,./greyInner/MilaKunis10_1_cut.png,0,0,0,146,,,1.ja,12.295,None,act,5.143,None,None,None,None,None,,['return'],[5.148405054016621],2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
53,./greyInner/DannFlorek(DonaldDonCragen)2_1_cut.png,0,1,1,52,,,2.nein,8.524,None,None,None,None,None,polit,7.925,None,,['return'],[1.9496237458843098],2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
145,./greyInner/MariskaHargitay(Liv)8_8_cut.png,0,2,2,144,,,2.nein,7.667,None,None,None,host,3.56,None,None,None,,['return'],[2.016419877716544],2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
10,./greyInner/AngelaMerkel6_1_cut.png,0,3,3,9,,,1.ja,3.562,None,None,None,None,None,polit,1.726,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.599861553113442, 1.9996670345972234, 2.166356636742421, 3.0991784607977024, 3.2487062305262953, 3.4655869990820065, 3.615796417638194, 3.8156616275991837, 3.9153498013292847, 4.315330426463333, 4.648461029417376, 4.7819788730557775, 5.015079996705026, 5.1481737745816645, 5.248378076761583, 7.031016785884276]",2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
105,./greyInner/JimParsons(SheldonCooper)9_3_cut.png,0,4,4,104,,,1.ja,41.793,None,None,None,music,5.427,None,None,None,,['return'],[0.9502620899620524],2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
166,./greyInner/RobertSeanLeonard(Wilson)1_1_cut.png,0,5,5,165,,,1.ja,9.29,None,dummy,2.557,None,None,None,None,None,,['return'],[1.2832720811711624],2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
115,./greyInner/JoshRadnor(Ted)9_1_cut.png,0,6,6,114,,,1.ja,9.409,None,dummy,0.828,None,None,None,None,None,aus einer amerikanischen Serie,"['a', 'u', 's', 'space', 'e', 'i', 'n', 'e', 'r', 'space', 'a', 'm', 'e', 'r', 'i', 'k', 'a', 'n', 'i', 's', 'c', 'h', 'e', 'n', 'space', 'lshift', 's', 'e', 'r', 'i', 'e', 'return']","[1.4830593425831466, 1.599467319509131, 1.8329010877823748, 1.9993837894580793, 3.1156904011950246, 3.23242428645608, 3.3822648127097636, 3.4655635824383353, 3.5821203993909876, 3.7321982998219028, 4.148606501294125, 4.381724305287207, 4.498549932461174, 4.615079483461159, 5.014941742279916, 5.314776446448377, 5.448183943175536, 5.631109297657531, 5.831269621459796, 6.031056562096637, 6.147879302287038, 6.247900762195059, 6.414460450094339, 6.5140353899223555, 6.73100693806191, 7.4473454349245, 8.430204773721925, 8.696900438531884, 8.813404969008843, 9.02993416715617, 9.180050881474017, 10.712491110494739]",2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
50,./greyInner/CristinMilioti(Tracy_Mutter)9_1_cut.png,0,7,7,49,,,2.nein,7.749,None,None,None,host,5.034,None,None,None,,['return'],[1.2500454699875263],2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
150,./greyInner/MilaKunis7_3_cut.png,0,8,8,149,,,1.ja,11.553,None,None,None,host,11.003,None,None,None,die Frau von Giovanni Zarella,"['d', 'i', 'e', 'space', 'lshift', 'f', 'r', 'a', 'u', 'space', 'v', 'o', 'n', 'space', 'g', 'i', 'o', 'v', 'a', 'n', 'n', 'i', 'space', 'lshift', 'z', 'a', 'r', 'e', 'l', 'l', 'a', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'lshift', 'g', 'i', 'o', 'v', 'a', 'n', 'n', 'i', 'space', 'lshift', 'z', 'a', 'r', 'e', 'l', 'l', 'a', 'return']","[1.4830894955193799, 1.666410366709897, 1.816284253654885, 2.049576880526729, 4.265277514474292, 4.464996129838255, 4.698550830635213, 4.915023892994213, 5.0480875179346185, 5.181536394757131, 6.097839542111615, 6.197769260110363, 6.414490923805715, 6.580986456519895, 7.197445276429789, 7.4970859111708705, 7.6969261006088345, 8.263537946670112, 8.480127450689906, 8.680110706187406, 8.89653565215849, 9.080006325701106, 9.26321524609375, 9.56304321396965, 9.779571129012766, 9.962910284430109, 10.21277515757538, 10.296108571099467, 10.814000008340372, 10.945802021593408, 11.02912067942816, 14.744416333782283, 15.093987985659624, 15.277383597636799, 15.410481224826071, 15.577116295065935, 15.743944151628966, 15.87713031297244, 16.04372207846245, 16.19382243320797, 16.3603038517831, 16.526842047693208, 16.6768978145883, 16.860089733854693, 17.010104120654432, 17.1766955653693, 17.34323857292111, 17.77631397033838, 18.30946375568965, 18.7758857344852, 18.942603885687276, 19.42568279560146, 19.659046955501253, 19.9256178384785, 20.05881201921875, 20.225424955919152, 20.408758658144507, 20.575183620156167, 20.891905251777644, 21.02504169285021, 21.358302851604094, 21.408134428205813, 21.79137889057165, 21.90799280563806, 22.174570424911508, 22.95756647840244]",2017_Feb_20_1627,60.0123010701,famFaceGrey,001,20,
