num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
19,./greyInner/BastianSchweinsteiger3_1_cut.png,0,13,13,18,,,1.ja,1.33,None,None,None,None,None,sport,1.828,None,Bastian Schweinsteiger,"['lshift', 'b', 'a', 's', 't', 'i', 'a', 'n', 'space', 'lshift', 's', 'c', 'h', 'w', 'e', 'i', 'n', 's', 't', 'e', 'i', 'g', 'e', 'r', 'delete', 'return']","[1.3333737516045403, 1.8499256752897963, 2.0997227819830186, 2.2496630206819646, 2.3996199399371108, 2.599662154575981, 2.7495549178452166, 2.916137860949675, 3.066097988004003, 3.166173307131885, 3.366028186290805, 3.5659629396527635, 3.7325333723401855, 3.899176942851682, 4.032370865226767, 4.182160978917636, 4.3822814638597265, 4.598885867141689, 4.765266718889507, 4.848813852047442, 4.998264259790631, 5.215318075756841, 5.348549850163636, 5.465126088967736, 5.765071043131229, 6.814664903660287]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
202,./greyInner/Usher11_1_cut.png,0,14,14,201,,,1.ja,3.876,None,None,None,music,1.56,None,None,None,,['return'],[1.283402012316401],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
124,./greyInner/KaleyCuoco(Penny)5_2_cut.png,0,15,15,123,,,1.ja,3.431,None,act,1.618,None,None,None,None,None,,['return'],[2.349544267951387],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
81,./greyInner/HughLaurie(DrHouse)2_1_cut.png,0,16,16,80,,,1.ja,6.166,None,act,0.869,None,None,None,None,None,,['return'],[2.1826931528239584],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
143,./greyInner/MariskaHargitay(Liv)4_4_cut.png,0,17,17,142,,,2.nein,2.928,None,None,None,host,6.376,None,None,None,,['return'],[0.5835586812349902],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
100,./greyInner/JasonSegel(Marshall)9_1_cut.png,0,18,18,99,,,1.ja,3.095,None,act,1.628,None,None,None,None,None,,['return'],[5.231843053927605],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
65,./greyInner/EmilyDeschanel8_3_cut.png,0,19,19,64,,,1.ja,8.431,None,act,1.295,None,None,None,None,None,,['return'],[1.2835226255706402],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
219,./greyInner/notfamousface4_2_cut.png,0,20,20,218,,,1.ja,3.486,None,act,1.268,None,None,None,None,None,,['return'],[0.7168648765864418],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
135,./greyInner/LeonardoDiCaprio7_1_cut.png,0,21,21,134,,,1.ja,2.703,None,act,1.037,None,None,None,None,None,,['return'],[61.27594452046924],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
186,./greyInner/TaylorSwift1_2_cut.png,0,22,22,185,,,1.ja,2.972,None,None,None,music,1.115,None,None,None,,"['t', 'backspace', 'return']","[5.164950173253601, 6.4645884618025775, 26.62349834894576]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
11,./greyInner/BarackObama1_3_cut.png,0,23,23,10,,,1.ja,4.943,None,None,None,None,None,polit,1.74,None,Barack Obama,"['lshift', 'b', 'a', 'r', 'a', 'c', 'k', 'space', 'lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[2.299600757297412, 2.5161246448165002, 2.7660526297217984, 2.8830247109613083, 3.0325790514025357, 3.598806955278633, 3.6653829053807385, 3.9822217346368234, 4.315451776832106, 4.66526036744699, 5.264930541521608, 5.481680899672483, 5.681512041116548, 5.864690854756645, 6.097918715648575]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
216,./greyInner/notfamousface14_6_cut.png,0,24,24,215,,,2.nein,2.661,None,None,None,None,None,sport,3.208,None,,['return'],[1.3334908362794522],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
71,./greyInner/GuentherJauch2_1_cut.png,0,25,25,70,,,1.ja,1.745,None,None,None,host,0.911,None,None,None,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.8334706271443793, 1.1500852312278766, 1.583278319575129, 1.8996863413831306, 2.1663789270683083, 2.3495510043298964, 2.4830333078634794, 2.5495155902258375, 2.7160943631911323, 2.9159283916546883, 3.065851308237143, 3.2327592014121365, 3.3825656748795154, 3.499111760369942, 3.5990796182209124, 3.8823068054748546]",,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
49,./greyInner/CristinMilioti(Tracy_Mutter)8_1_cut.png,0,26,26,48,,,1.ja,3.853,None,act,2.021,None,None,None,None,None,,['return'],[1.0496615450942954],,,2017_Jan_27_1016,60.0237984755,famFaceGrey,001,6,
