num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,key_resp_6.rt,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
,,,,,,space,39.6991009556,,,,,,,,,,,,,,,,2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
174,./greyInner/SahraWagenknecht6_2_cut.png,0,0,0,173,,,None,None,2,8.11358716067,None,None,None,None,None,None,3,9.56294096947,,['return'],[3.782603312161882],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
87,./greyInner/Ice-T(OdafinFinTutuola)12_1_cut.png,0,1,1,86,,,None,None,1,19.8923523643,None,None,None,None,None,None,2,7.54734955593,,['return'],[2.5159886970668595],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
224,./greyInner/notfamousface9_1_cut.png,0,2,2,223,,,None,None,2,29.8549788431,None,None,None,None,None,None,2,4.61550589413,,['return'],[1.6332317643336864],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
209,./greyInner/WillSmith5_1_cut.png,0,3,3,208,,,None,None,1,2.73261327232,None,None,None,None,None,None,2,4.18208608975,Usher,"['lshift', 'u', 's', 'h', 'e', 'r', 'return']","[2.866026436595348, 3.016053013050623, 3.2658765049691283, 3.565890202189621, 3.7490602007237612, 3.8490207129543705, 5.065223144387346]",2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
96,./greyInner/JasonSegel(Marshall)11_1_cut.png,0,4,4,95,,,None,None,1,12.2787294369,None,None,None,None,None,None,1,1.93274504791,Marshall,"['lshift', 'm', 'a', 'r', 's', 'h', 'a', 'l', 'l', 'return']","[3.349062574479831, 3.449024049044965, 3.665504594982849, 3.94887023600495, 4.198719390162296, 4.532014443990192, 4.665099452398863, 4.965057655028431, 7.813882372640364, 9.94656255924383]",2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
152,./greyInner/NeilPatrickHarris(Barney)11_2_cut.png,0,5,5,151,,,None,None,2,3.24913317771,None,None,None,None,None,None,1,7.13076706675,,['return'],[1.416416005409701],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
207,./greyInner/WillSmith14_1_cut.png,0,6,6,206,,,None,None,1,4.34862150476,None,None,None,None,None,None,1,9.27996507369,,['return'],[1.0000205297910725],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
197,./greyInner/UrsulavonderLeyen4_1_cut.png,0,7,7,196,,,None,None,1,8.18012966487,None,None,None,None,None,None,4,3.49886460635,Ursula von der Layen,"['lshift', 'u', 'r', 's', 'u', 'l', 'a', 'space', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'y', 'e', 'n', 'backspace', 'backspace', 'backspace', 'backspace', 'e', 'i', 'e', 'n', 'backspace', 'backspace', 'backspace', 'backspace', 'a', 'y', 'e', 'n', 'return']","[24.27373043294574, 24.390587604306347, 24.706830742463353, 24.923376406331954, 25.172915368184476, 25.573251415193226, 25.756792553846026, 25.889876920698953, 26.173193161912423, 26.356394275910134, 26.62286357858102, 26.77300403121808, 26.856286654900032, 27.07284579144107, 27.139277948022936, 27.306133178675736, 27.639202725587893, 27.756005685469063, 28.00587697330593, 28.738799154814842, 29.005510003302334, 29.23864983266685, 40.08421544603698, 40.48405268329225, 40.650679840804514, 40.8005049686908, 42.08341542576454, 42.25012630632955, 42.3833348142598, 42.54976661798355, 45.281986937279726, 45.46548765790794, 45.94867039132805, 46.13184520153118, 46.981365686573554, 47.447781034388754, 47.76449956550641, 47.964443365206535, 49.74699086199871]",2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
202,./greyInner/Usher11_1_cut.png,0,8,8,201,,,None,None,2,4.21538412681,None,None,None,None,None,None,5,7.6473793562,,['return'],[1.416265560537795],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
26,./greyInner/Beyonce1_1_cut.png,0,9,9,25,,,None,None,2,11.595783181,None,None,None,None,None,None,3,6.66392283878,,['return'],[0.7500376112184313],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
57,./greyInner/ElvisPresley2_1_cut.png,0,10,10,56,,,None,None,1,10.1962740996,None,None,None,None,None,None,2,2.54935345595,Elvis,"['lshift', 'e', 'l', 'v', 'i', 's', 'return']","[2.299537662702278, 2.3993782039706275, 2.799240461907175, 3.199184839006193, 3.565550498313314, 3.732481753346292, 8.813654620276793]",2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
124,./greyInner/KaleyCuoco(Penny)5_2_cut.png,0,11,11,123,,,None,None,1,20.9584018328,None,None,None,None,None,None,1,5.63121824097,,['return'],[2.816077456333005],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
22,./greyInner/BenedictCumberbatch2_2_cut.png,0,12,12,21,,,None,None,1,3.88222732829,None,None,None,None,None,None,2,2.28291174019,,['return'],[1.0502383219973126],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
189,./greyInner/TaylorSwift7_1_cut.png,0,13,13,188,,,None,None,2,7.73056382183,None,None,None,None,None,None,1,3.26565741361,,['return'],[1.4831885074236197],2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
31,./greyInner/BritneySpears1_1_cut.png,0,14,14,30,,,None,None,1,2.66603612409,None,None,None,None,None,None,2,2.91584870956,Britney Spears,"['lshift', 'b', 'r', 'i', 't', 'n', 'e', 'y', 'space', 'lshift', 's', 'p', 'e', 'a', 'r', 's', 'return']","[1.5500553181627765, 1.650020962841154, 1.9998505174644379, 2.166490506095215, 2.399700265059437, 2.7825487799054827, 2.932869188987752, 3.5992918505398848, 3.8158984622241405, 4.082394710243534, 4.199028620132594, 4.582245708874325, 4.915355994588026, 5.032025510830863, 5.198407593970842, 5.315341752044333, 8.097405194872408]",2017_Feb_23_1634,60.0514519629,famFaceGrey,001,23,
