num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_5.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
3,./greyInner/AlysonHannigan(Lily)14_2_cut.png,0,49,49,2,,,1.ja,2.652,None,act,0.748,None,None,None,None,None,Lilly,"['lshift', 'l', 'i', 'l', 'l', 'y', 'return']","[0.736249403347756, 1.254153151096034, 1.471452419200432, 1.6551425037341687, 1.8222767621136882, 1.9222244106604194, 2.4903480216798926]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
106,./greyInner/JoachimLoew1_1_cut.png,0,50,50,105,,,1.ja,1.673,None,None,None,None,None,sport,0.773,None,Joachim Loew,"['lshift', 'j', 'o', 'a', 'c', 'h', 'i', 'm', 'space', 'lshift', 'l', 'o', 'e', 'w', 'return']","[0.7018751571831672, 1.1028333940685116, 1.3200319369534554, 1.4200905757134024, 1.5540734049500315, 1.6708617331423739, 1.8379388925113744, 2.055250671073736, 2.2389115645401034, 2.5394823621809337, 2.740205594933286, 3.2747257964365417, 3.358182737365496, 3.508688031535712, 4.12678129667438]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
128,./greyInner/KatjaBurkard4_1_cut.png,0,51,51,127,,,1.ja,3.573,None,None,None,host,2.157,None,None,None,,['return'],[0.8858574731711997],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
162,./greyInner/OmarEpps(DrEricForeman)2_2_cut.png,0,52,52,161,,,1.ja,2.176,None,None,None,music,3.579,None,None,None,,['return'],[0.8358948762306682],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
204,./greyInner/Usher4_1_cut.png,0,53,53,203,,,1.ja,4.355,None,None,None,music,0.914,None,None,None,Usher,"['lshift', 'u', 's', 'h', 'e', 'r', 'return']","[0.969352587035246, 1.1363367199246568, 1.3533350954912748, 1.4872714114881092, 1.6041720130160684, 1.704469954373053, 2.2891410512384027]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
198,./greyInner/UrsulavonderLeyen5_1_cut.png,0,54,54,197,,,1.ja,3.117,None,None,None,None,None,polit,1.328,None,Zensursula,"['lshift', 'z', 'n', 'e', 'backspace', 'backspace', 'e', 'n', 's', 'u', 'r', 's', 'u', 'l', 'a', 'return']","[0.9024986270578665, 1.102716309016614, 1.4204617192826845, 1.4449584781123122, 1.8548042722886748, 1.9885218156705378, 2.0886616120133112, 2.2723128820489364, 2.9574843330574367, 3.1577998532102356, 3.3082871836450067, 4.343953214738576, 4.5111031913857005, 5.162670912095564, 5.296194703778383, 8.788066114238973]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
105,./greyInner/JimParsons(SheldonCooper)9_3_cut.png,0,55,55,104,,,1.ja,2.246,None,act,1.926,None,None,None,None,None,Jim Parsons,"['lshift', 'j', 'i', 'm', 'space', 'lshift', 'p', 'a', 'r', 's', 'o', 'n', 's', 'return']","[3.659066938005708, 3.79311937671082, 4.260917459210759, 4.42793367019658, 4.645173914606858, 5.079558810699382, 5.630860668148671, 5.79805683725499, 5.981654536870337, 6.1152758459647885, 6.265595407956425, 6.449436580322072, 6.549642778323687, 9.38981558944215]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
217,./greyInner/notfamousface2_cut.png,0,56,56,216,,,2.nein,15.806,None,None,None,None,None,sport,8.2,None,,['return'],[1.3706255100423732],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
145,./greyInner/MariskaHargitay(Liv)8_8_cut.png,0,57,57,144,,,1.ja,3.469,None,None,None,host,1.364,None,None,None,,['return'],[0.8025942839412892],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
22,./greyInner/BenedictCumberbatch2_2_cut.png,0,58,58,21,,,1.ja,3.723,None,act,2.348,None,None,None,None,None,Benedict Cumberbatch,"['lshift', 'b', 'e', 'n', 'e', 'd', 'i', 'c', 't', 'space', 'lshift', 'c', 'u', 'm', 'b', 'e', 'r', 'b', 'a', 't', 'c', 'h', 'return']","[1.1362879612188408, 1.3367314729748614, 1.5039173770892376, 1.620738745719791, 1.754080975379111, 2.4227164886542596, 2.7235009264149994, 2.807073669271631, 3.0241618635063787, 3.191311840153503, 3.5921632569788926, 3.8428298398139304, 4.0599712836883555, 4.2436074770193954, 4.444109050129555, 4.5778009310342895, 4.661359559528137, 5.145794304982701, 5.529826855268766, 5.880934126987995, 6.198494446640325, 6.365380741337503, 7.701814529580588]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
224,./greyInner/notfamousface9_1_cut.png,0,59,59,223,,,2.nein,4.037,None,None,None,music,1.479,None,None,None,,['return'],[1.3035854971076333],,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
197,./greyInner/UrsulavonderLeyen4_1_cut.png,0,60,60,196,,,1.ja,5.058,None,None,None,None,None,polit,1.099,None,Ursula von der Leyen,"['lshift', 'u', 'r', 's', 'u', 'l', 'a', 'space', 'v', 'o', 'n', 'space', 'd', 'e', 'r', 'space', 'lshift', 'l', 'e', 'y', 'e', 'n', 'return']","[10.10804191452371, 10.776307567351978, 11.01018126690542, 11.177039653659449, 11.344289393184226, 11.561354811970887, 11.678463279562493, 12.045948344000863, 12.329973901261837, 12.430257086693018, 12.613970267453624, 12.78100155514585, 12.864674060881953, 12.96470286701151, 13.115223237886312, 13.265402939379783, 13.465901625460901, 13.716565642049318, 13.866734116209045, 14.084161696700903, 14.267961488321816, 14.40165304844595, 14.752439859985316]",,,2017_Feb_01_1624,59.8540796268,famFaceGrey,001,8,
