num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
158,./greyInner/NicoleKidman5_1_cut.png,0,212,212,157,,,1.ja,1.774,None,act,0.859,None,None,None,None,None,Nickole Kidmann,"['lshift', 'n', 'i', 'c', 'k', 'o', 'l', 'e', 'space', 'lshift', 'k', 'i', 'd', 'm', 'a', 'n', 'n', 'return']","[0.849937817605678, 1.3662125442060642, 1.8162778381374665, 2.1158767720335163, 2.4160855009104125, 2.715960943605751, 2.9657876444398426, 3.149110761063639, 3.365568105393322, 3.715567993116565, 4.048732919094618, 4.348502826527692, 5.264811106288107, 5.914564862672705, 6.1645185907545965, 6.381129586749012, 6.53090916556539, 6.947575591650093]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
42,./greyInner/CobieSmulders(Robin)2_1_cut.png,0,213,213,41,,,1.ja,2.043,None,act,0.761,None,None,None,None,None,Robin,"['lshift', 'r', 'o', 'b', 'i', 'm', 'backspace', 'n', 'return']","[0.8665803137992043, 1.2332923061039764, 1.7663173096370883, 2.1160759738704655, 2.5159164199139923, 2.7658730349794496, 3.449037848680746, 3.881999049888691, 4.731743439595448]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
64,./greyInner/EmilyDeschanel6_12_cut.png,0,214,214,63,,,2.nein,1.922,None,act,0.962,None,None,None,None,None,,['return'],[0.7669803534226958],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
178,./greyInner/Shakira3_1_cut.png,0,215,215,177,,,1.ja,1.696,None,None,None,music,1.279,None,None,None,Shakira,"['lshift', 's', 'h', 'a', 'k', 'i', 'r', 'a', 'return']","[1.0346851792710368, 1.8168196286715101, 3.0329449699202087, 3.266198462137254, 3.699456060276134, 3.9323926258657593, 4.265781132649863, 4.415771140484139, 4.915659029298695]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
98,./greyInner/JasonSegel(Marshall)6_1_cut.png,0,216,216,97,,,1.ja,1.98,None,dummy,1.385,None,None,None,None,None,Murshel,"['lshift', 'm', 'i', 'backspace', 'u', 'r', 's', 'h', 'e', 'l', 'return']","[0.883702369988896, 1.3334346985502634, 1.7333858122874517, 2.366439653560519, 2.832740058278432, 3.2993307652068324, 3.8324776635854505, 4.132388070866, 4.349010614794679, 4.765085850871401, 5.448310328909429]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
35,./greyInner/BritneySpears8_5_cut.png,0,217,217,34,,,1.ja,1.621,None,None,None,music,1.422,None,None,None,Breatny Speers,"['lshift', 'b', 'r', 'e', 'a', 't', 'n', 'y', 'space', 'lshift', 's', 'p', 'e', 'e', 'r', 's', 'return']","[0.7166650467552245, 1.166556800919352, 1.5330628550727852, 1.8329386185505427, 2.016065420320956, 2.7658807335828897, 3.3656646589224692, 3.582296505366685, 3.798705412540585, 4.598522313637659, 4.765088737854967, 5.897837040043669, 6.414276324707316, 6.680912645970238, 7.097501444281079, 7.330805619101739, 8.86337415847811]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
194,./greyInner/TomCruise6_1_cut.png,0,218,218,193,,,1.ja,1.645,None,act,1.345,None,None,None,None,None,Tom Crueso,"['lshift', 't', 'o', 'm', 'space', 'lshift', 'c', 'r', 'u', 'e', 's', 'o', 'return']","[0.7836513986985665, 1.2168644089833833, 1.7167025775415823, 1.9998293472162914, 2.2996736746572424, 2.5162907654012088, 2.882775648351526, 3.26601016666973, 3.882477326755179, 4.098936595750274, 4.4653541157604195, 4.715410492121009, 5.864987661363557]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
164,./greyInner/OmarEpps(DrEricForeman)5_2_cut.png,0,219,219,163,,,1.ja,1.633,None,dummy,0.696,None,None,None,None,None,,['return'],[0.6003430377750192],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
85,./greyInner/HughLaurie(DrHouse)9_2_cut.png,0,220,220,84,,,1.ja,2.004,None,act,1.073,None,None,None,None,None,Arzt,"['lshift', 'a', 'r', 'z', 't', 'return']","[1.0167550885525998, 1.449824391223956, 2.16637427941896, 2.899385104654357, 3.0992326719278935, 4.032270057388814]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
148,./greyInner/MilaKunis4_1_cut.png,0,221,221,147,,,1.ja,2.395,None,dummy,0.647,None,None,None,None,None,,['return'],[3.016191806033021],2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
67,./greyInner/EmmaWatson(HermioneGranger)16_1_cut.png,0,222,222,66,,,1.ja,1.961,None,dummy,1.227,None,None,None,None,None,Herry Poter,"['lshift', 'h', 'e', 'r', 'r', 'y', 'space', 'lshift', 'p', 'o', 't', 'e', 'r', 'return']","[0.8501883435819764, 1.383235159853939, 5.581634744652547, 6.164682507223915, 6.331275555799948, 7.147467105212854, 7.364054363803007, 7.814003857638454, 8.413978644646704, 8.697019446379272, 9.663116960349726, 9.879792432300746, 10.063000390364323, 10.87911206658464]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
133,./greyInner/LeonardoDiCaprio3_1_cut.png,0,223,223,132,,,1.ja,1.745,None,dummy,0.931,None,None,None,None,None,Leonardo Dicaprio,"['lshift', 'l', 'e', 'o', 'n', 'a', 'r', 'd', 'o', 'space', 'lshift', 'd', 'i', 'c', 'a', 'p', 'r', 'i', 'o', 'return']","[0.9500426792365033, 1.4499186993343756, 1.8996834262215998, 2.1161985102517065, 2.4494000046688598, 2.799014640535461, 3.56558792933356, 3.8656507051782683, 4.115473877434852, 4.648463916382752, 5.381421813595807, 5.714651215530466, 6.38121780010988, 7.64725010030088, 7.863723804213805, 8.696892419131473, 9.146746642509243, 10.146205172757618, 10.329513854463585, 10.929186149791349]",2017_Feb_22_1031,60.0484827242,famFaceGrey,001,21,
