num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,key_resp_5.rt,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,key_resp_6.rt,date,frameRate,expName,session,participant,
145,./greyInner/MariskaHargitay(Liv)8_8_cut.png,0,49,49,144,,,1.ja,2.945,None,,act,1.085,None,None,None,None,None,,['return'],[0.7833743719108952],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
180,./greyInner/Shakira9_1_cut.png,0,50,50,179,,,1.ja,6.325,None,,dummy,1.228,None,None,None,None,None,die aus sin city,"['s', 'i', 'n', 'space', 'c', 'i', 't', 'y', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace', 'd', 'i', 'e', 'space', 'a', 'u', 's', 'space', 's', 'i', 'n', 'space', 'c', 'i', 't', 'y', 'return']","[1.883056093041887, 2.082821794628444, 2.282889030317847, 2.4492989652890174, 2.632559524115095, 2.6993852553673605, 2.8990755734280356, 3.1821878672942603, 5.448260918100914, 5.614762275645944, 5.764854403937761, 5.914758233805742, 6.0480632528729075, 6.198061392343334, 6.347722711805318, 6.497730795485495, 6.7311124170462335, 7.547292095443936, 7.664022041501539, 7.714052002443168, 7.847229029907112, 7.871496751130508, 7.9640106216993445, 8.030613730964888, 8.197202661712254, 8.297055038314284, 8.430327337723384, 8.647023858404737, 9.080151934694186, 9.146830427485611, 9.363373614867896, 9.613218677664008, 9.829805170475993]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
51,./greyInner/DannFlorek(DonaldDonCragen)1_1_cut.png,0,51,51,50,,,1.ja,5.36,None,,act,0.913,None,None,None,None,None,,['return'],[1.4995435286932661],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
127,./greyInner/KatjaBurkard10_1_cut.png,0,52,52,126,,,1.ja,4.208,None,,act,1.429,None,None,None,None,None,,['return'],[0.9335935294629962],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
144,./greyInner/MariskaHargitay(Liv)6_5_cut.png,0,53,53,143,,,1.ja,4.777,None,,act,0.548,None,None,None,None,None,,['return'],[0.7669410840856017],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
172,./greyInner/SahraWagenknecht2_2_cut.png,0,54,54,171,,,1.ja,2.217,None,,None,None,None,None,polit,0.981,None,sarah wagenknecht,"['s', 'a', 'r', 'a', 'h', 'space', 'w', 'a', 'g', 'e', 'n', 'k', 'n', 'e', 'c', 'h', 't', 'return']","[0.8003164183394347, 0.9669069529913941, 1.2168588358474608, 1.3668008386498514, 1.4501358828149478, 1.5833481961844882, 1.699942131114767, 1.833134556064806, 2.0331408433717115, 2.166182501270214, 2.2663582250804666, 2.482866447337983, 2.6495034952292826, 2.732877033109844, 2.9329657611233415, 2.9596823241993206, 3.1660692655912044, 3.2160992265330606]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
99,./greyInner/JasonSegel(Marshall)7_1_cut.png,0,55,55,98,,,2.nein,13.839,None,,None,None,music,2.328,None,None,None,,['return'],[1.3163474468401546],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
96,./greyInner/JasonSegel(Marshall)11_1_cut.png,0,56,56,95,,,2.nein,8.031,None,,None,None,None,None,polit,3.929,None,,['return'],[1.333876522426408],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
137,./greyInner/LisaEdelstein(DrLisaCuddy)10_1_cut.png,0,57,57,136,,,1.ja,5.693,None,,act,10.308,None,None,None,None,None,,['return'],[1.3000033361220176],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
75,./greyInner/GuentherJauch9_1_cut.png,0,58,58,74,,,1.ja,1.383,None,,None,None,host,1.671,None,None,None,der jauch,"['d', 'e', 'r', 'space', 'j', 'a', 'u', 'c', 'h', 'return']","[1.1498095202657623, 1.3498523766020298, 1.4830765588671966, 1.566365410574008, 1.6162385096261005, 1.716466520732638, 1.8493978299809442, 1.9328182018816733, 1.99967055795355, 2.4660867160755515]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
126,./greyInner/KatjaBurkard1_1_cut.png,0,59,59,125,,,1.ja,8.906,None,,None,None,host,0.993,None,None,None,,['return'],[1.0665982975510815],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
97,./greyInner/JasonSegel(Marshall)14_1_cut.png,0,60,60,96,,,2.nein,6.638,None,,act,4.335,None,None,None,None,None,,['return'],[1.2331785672126898],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
63,./greyInner/EmilyDeschanel5_1_cut.png,0,61,61,62,,,2.nein,8.589,None,,None,None,music,2.593,None,None,None,,['return'],[1.3498520558209748],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
162,./greyInner/OmarEpps(DrEricForeman)2_2_cut.png,0,62,62,161,,,1.ja,4.519,None,,act,1.136,None,None,None,None,None,omar eps der aus dr house,"['o', 'm', 'a', 'r', 'space', 'e', 'p', 's', 'space', 'd', 'e', 'r', 'space', 'a', 'u', 's', 'space', 'd', 'r', 'space', 'h', 'o', 'u', 's', 'e', 'return']","[1.0000128312383367, 1.216606381231486, 1.3666664314273476, 2.0330946509134264, 2.132872606332512, 2.2992774088083934, 2.6660500187335856, 2.815952244696973, 3.582215839393939, 3.699076343302295, 3.8821973624105794, 4.032361345637582, 4.115465748292081, 4.398604025416034, 4.465436493068637, 4.582023370817751, 4.648676842694158, 4.815018451320839, 4.981920464285622, 5.048441132844346, 5.364958272812601, 5.548195735409536, 5.664896811180597, 5.7648495922233, 5.91469022824208, 5.981326698727571]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
59,./greyInner/ElvisPresley5_2_cut.png,0,63,63,58,,,1.ja,1.548,None,,None,None,music,1.066,None,None,None,elvis,"['e', 'l', 'v', 'i', 's', 'return']","[0.8497702566760381, 1.049861871718349, 1.6830020093718758, 1.7663434691562543, 1.9497316988044986, 2.199351252585302]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
140,./greyInner/LisaEdelstein(DrLisaCuddy)9_1_cut.png,0,64,64,139,,,1.ja,4.495,None,,act,0.73,None,None,None,None,None,,['return'],[0.9502192858644776],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
2,./greyInner/AlysonHannigan(Lily)12_2_cut.png,0,65,65,1,,,1.ja,3.036,None,,act,0.915,None,None,None,None,None,willow,"['w', 'i', 'l', 'l', 'o', 'w', 'return']","[0.6503105801259608, 0.8000703793427419, 0.9999429009890264, 1.1334147261557064, 1.316457795490578, 1.4166274244626038, 1.8831013231572342]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
138,./greyInner/LisaEdelstein(DrLisaCuddy)2_2_cut.png,0,66,66,137,,,1.ja,5.989,None,,act,1.541,None,None,None,None,None,chefin von house,"['c', 'h', 'e', 'f', 'i', 'n', 'space', 'v', 'o', 'n', 'space', 'h', 'o', 'u', 's', 'e', 'return']","[1.0001969595098217, 1.1164871148703241, 1.266214194429267, 1.4331684946905625, 1.4663022808808819, 1.6163482167146412, 1.716470049323334, 1.8162890647054155, 1.8995301200491213, 2.0661610731021938, 2.1329386872102987, 2.4494192581491916, 2.832747052664672, 3.0155854637466746, 3.0658730117995674, 3.248986973726687, 3.4988798328859048]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
101,./greyInner/JimParsons(SheldonCooper)1_1_cut.png,0,67,67,100,,,1.ja,3.145,None,,act,2.096,None,None,None,None,None,sheldon,"['s', 'h', 'e', 'l', 'd', 'o', 'n', 'return']","[0.7168434383613658, 0.9502994811045937, 1.050082248238141, 1.1667676057422796, 1.3333465922796677, 1.3834208209939334, 1.5162632739161381, 1.766443873596927]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
202,./greyInner/Usher11_1_cut.png,0,68,68,201,,,1.ja,2.577,None,,None,None,music,0.911,None,None,None,,['return'],[1.8329350303074534],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
159,./greyInner/NicoleKidman7_1_cut.png,0,69,69,158,,,1.ja,2.279,None,,act,0.712,None,None,None,None,None,nicole kidman,"['n', 'i', 'c', 'o', 'l', 'e', 'space', 'k', 'i', 'd', 'm', 'a', 'n', 'return']","[0.7835870496876396, 0.9835676745176443, 1.1000400334637561, 1.2167991705887289, 1.399930775468647, 1.4500550460127215, 1.5998591130021396, 2.0164130786245096, 2.1997769289200733, 2.33287055333426, 2.54926618147465, 2.632791769530286, 2.7161139824570455, 2.932665189363206]",,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
142,./greyInner/MariskaHargitay(Liv)14_1_cut.png,0,70,70,141,,,2.nein,11.224,None,,None,None,music,1.328,None,None,None,,['return'],[1.1673835051865353],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
36,./greyInner/CarenMiosga1_1_cut.png,0,71,71,35,,,2.nein,5.458,None,,None,None,host,0.911,None,None,None,,['return'],[1.1002565606122516],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
103,./greyInner/JimParsons(SheldonCooper)6_1_cut.png,0,72,72,102,,,1.ja,4.41,None,,act,4.077,None,None,None,None,None,,['return'],[1.9664305932651587],,2017_Feb_06_1227,60.035396594,famFaceGrey,001,10,
