num,pic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,ratingBekannt.response,ratingBekannt.rt,key_resp_5.keys,ratingK1.response,ratingK1.rt,ratingK2.response,ratingK2.rt,ratingK3.response,ratingK3.rt,key_resp_6.keys,inputText,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,session,participant,
10,./greyInner/AngelaMerkel6_1_cut.png,0,14,14,9,,,1.ja,2.011,None,None,None,None,None,polit,0.956,None,Angela Merkel,"['lshift', 'a', 'n', 'g', 'e', 'l', 'a', 'space', 'lshift', 'm', 'e', 'r', 'k', 'e', 'l', 'return']","[1.066883062099805, 1.183389196459757, 1.366909911044786, 1.6333553706390376, 2.066471506597736, 2.216520857971773, 2.3831485503651493, 2.6996709801387624, 2.966170650863205, 3.0994472710153786, 3.3159498447603255, 3.532657073541486, 3.6491789259198413, 3.799163480558491, 3.899160882276192, 4.915487414196832]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
107,./greyInner/JoachimLoew12_1_cut.png,0,15,15,106,,,1.ja,2.247,None,None,None,None,None,sport,5.029,None,Jogi Löw,"['lshift', 'j', 'o', 'w', 'i', 'backspace', 'backspace', 'g', 'i', 'space', 'lshift', 'l', u'\xf6', 'w', 'return']","[1.1332515996291477, 1.3332146462453238, 1.549732938008674, 1.782733017240389, 1.9496670506377995, 2.6993357693063444, 2.8326739784351957, 3.5154994112162967, 3.615652710028371, 3.915468809194863, 4.198382583665079, 4.3653586387044925, 4.598289751113043, 4.8152247307989455, 5.864581879817706]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
53,./greyInner/DannFlorek(DonaldDonCragen)2_1_cut.png,0,16,16,52,,,1.ja,3.277,None,None,None,None,None,polit,2.961,None,,['return'],[1.4499931193568045],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
119,./greyInner/JudithRakers7_1_cut.png,0,17,17,118,,,2.nein,3.628,None,None,None,host,7.943,None,None,None,,['return'],[1.4166272914226283],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
87,./greyInner/Ice-T(OdafinFinTutuola)12_1_cut.png,0,18,18,86,,,1.ja,1.38,None,None,None,music,1.745,None,None,None,Ice Cube,"['lshift', 'i', 'c', 'e', 'space', 'lshift', 'c', 'u', 'b', 'e', 'return']","[1.0499287717066181, 1.2165708990178246, 1.5330458539574465, 1.6829893492795236, 1.8830043615889736, 2.6992286301501736, 2.8825491805619095, 3.2323890011066396, 3.4820899577571254, 3.5989646636444377, 4.9649651749641635]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
72,./greyInner/GuentherJauch3_1_cut.png,0,19,19,71,,,1.ja,1.55,None,None,None,host,1.867,None,None,None,Günther Jauch,"['lshift', 'g', u'\xfc', 'n', 't', 'h', 'e', 'r', 'space', 'lshift', 'j', 'a', 'u', 'c', 'h', 'return']","[0.8832709263770084, 1.0333837913858588, 1.6164273838694498, 1.9996484295952541, 2.2828772060165647, 2.3995860707545944, 2.5659430282721587, 2.7493193936934404, 2.898980285433936, 3.4489775427973655, 3.715439361963945, 3.8988834111041797, 3.998903267136484, 4.148855102630478, 4.28196042844138, 5.581508038161701]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
199,./greyInner/UrsulavonderLeyen7_1_cut.png,0,20,20,198,,,1.ja,3.946,None,None,None,None,None,polit,2.312,None,,['return'],[4.5153929136104125],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
64,./greyInner/EmilyDeschanel6_12_cut.png,0,21,21,63,,,1.ja,2.295,None,act,1.178,None,None,None,None,None,,['return'],[1.1834475776777253],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
212,./greyInner/notfamousface11_1_cut.png,0,22,22,211,,,2.nein,2.884,None,act,4.466,None,None,None,None,None,,['return'],[1.4664707367373921],2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
12,./greyInner/BarackObama11_2_cut.png,0,23,23,11,,,1.ja,1.218,None,None,None,None,None,polit,1.348,None,Obama,"['lshift', 'o', 'b', 'a', 'm', 'a', 'return']","[0.9668375439978263, 1.1001427132068784, 1.4334115705823933, 1.5499975781422108, 1.7331266253313515, 1.8665431037843518, 2.7993421527462488]",2017_Jan_25_1425,59.9932452199,famFaceGrey,001,4,
