img,basicLoop.thisRepN,basicLoop.thisTrialN,basicLoop.thisN,basicLoop.thisIndex,key_resp_2.keys,key_resp_2.rt,basicRating1.response,basicRating1.rt,basicRating2.response,basicRating2.rt,basicRating3.response,basicRating3.rt,basicRating4.response,basicRating4.rt,key_resp_3.keys,key_resp_3.rt,date,group,expName,participant,frameRate,
./basicStim/02F_AN_O.jpg,0,39,39,7,,,None,None,ANG,2.252,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/03F_HA_O.jpg,0,40,40,17,,,HAP,1.184,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/01F_DI_O.jpg,0,41,41,1,,,None,None,None,None,DIS,4.718,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/03F_SP_O.jpg,0,42,42,19,,,None,None,FEA,16.277,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/09F_HA_O.jpg,0,43,43,38,,,HAP,2.364,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/01F_SP_O.jpg,0,44,44,5,,,None,None,None,None,SUP,1.532,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/23M_AN_O.jpg,0,45,45,49,,,None,None,ANG,2.629,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/36M_NE_C.jpg,0,46,46,83,,,None,None,None,None,None,None,NTR,1.834,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/01F_SA_C.jpg,0,47,47,4,,,SAD,3.395,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/23M_HA_O.jpg,0,48,48,52,,,HAP,1.69,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/01F_FE_O.jpg,0,49,49,2,,,None,None,FEA,6.085,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/28M_DI_O.jpg,0,50,50,64,,,None,None,None,None,DIS,2.057,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/06F_DI_O.jpg,0,51,51,22,,,None,None,None,None,DIS,1.618,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/06F_SP_O.jpg,0,52,52,26,,,None,None,None,None,SUP,0.967,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/36M_SA_C.jpg,0,53,53,81,,,SAD,1.147,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/36M_DI_O.jpg,0,54,54,78,,,None,None,None,None,DIS,2.921,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/02F_FE_O.jpg,0,55,55,9,,,None,None,FEA,3.513,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/23M_DI_O.jpg,0,56,56,50,,,SAD,1.463,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/03F_DI_O.jpg,0,57,57,15,,,None,None,None,None,DIS,4.115,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/34M_FE_O.jpg,0,58,58,72,,,None,None,None,None,SUP,2.361,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/21M_HA_O.jpg,0,59,59,45,,,HAP,3.334,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/06F_FE_O.jpg,0,60,60,23,,,None,None,FEA,4.702,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/06F_AN_O.jpg,0,61,61,21,,,None,None,ANG,5.34,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/06F_HA_O.jpg,0,62,62,24,,,HAP,1.658,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/24M_DI_O.jpg,0,63,63,57,,,None,None,None,None,DIS,7.191,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/09F_SA_C.jpg,0,64,64,39,,,SAD,4.304,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/28M_HA_O.jpg,0,65,65,66,,,HAP,1.15,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/23M_FE_O.jpg,0,66,66,51,,,None,None,FEA,7.375,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/28M_FE_O.jpg,0,67,67,65,,,None,None,FEA,3.672,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/34M_NE_C.jpg,0,68,68,76,,,None,None,None,None,None,None,NTR,5.137,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/24M_SP_O.jpg,0,69,69,61,,,None,None,None,None,SUP,4.568,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/24M_FE_O.jpg,0,70,70,58,,,None,None,FEA,6.193,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/21M_NE_C.jpg,0,71,71,48,,,None,None,None,None,None,None,NTR,4.801,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/07F_SA_C.jpg,0,72,72,32,,,SAD,2.754,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/36M_AN_O.jpg,0,73,73,77,,,None,None,ANG,1.269,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
./basicStim/02F_SA_C.jpg,0,74,74,11,,,SAD,2.45,None,None,None,None,None,None,,,2016_Oct_20_1313,p,facesParametric,001,92.4087546212,
