num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
1,./stim/Novel30RHSA004_T3.jpg,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,1,14.833,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
18,./stim/Novel60RA076_T2.jpg,,,,,,,,,,,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,3,13.15,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
16,./stim/Novel60RA040_T3.jpg,,,,,,,,,,,,,,,0,9,9,15,,,,,,,,,,,,,,,,,,,,,,,3,17.683,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
12,./stim/Novel60LA076_T1.jpg,,,,,,,,,,,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,2,20.45,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
14,./stim/Novel60RA011_T1.jpg,,,,,,,,,,,,,,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,1,13.717,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
10,./stim/Novel60LA040_T2.jpg,,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,,,,,,,,,3,10.5,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
21,./stim/NovelFBLA022_T3.jpg,,,,,,,,,,,,,,,0,13,13,20,,,,,,,,,,,,,,,,,,,,,,,3,15.917,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
7,./stim/Novel60LA004_T1.jpg,,,,,,,,,,,,,,,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,1,11.734,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
17,./stim/Novel60RA049_T2.jpg,,,,,,,,,,,,,,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,2,15.85,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
8,./stim/Novel60LA011_T3.jpg,,,,,,,,,,,,,,,0,16,16,7,,,,,,,,,,,,,,,,,,,,,,,3,11.401,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
23,./stim/NovelFBLA049_T2.jpg,,,,,,,,,,,,,,,0,17,17,22,,,,,,,,,,,,,,,,,,,,,,,2,14.051,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
30,./stim/NovelHLFA076_T3.jpg,,,,,,,,,,,,,,,0,18,18,29,,,,,,,,,,,,,,,,,,,,,,,1,15.833,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
15,./stim/Novel60RA022_T2.jpg,,,,,,,,,,,,,,,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,3,14.1,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
24,./stim/NovelFBLA076_T2.jpg,,,,,,,,,,,,,,,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,2,9.75,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
19,./stim/NovelFBLA004_T3.jpg,,,,,,,,,,,,,,,0,21,21,18,,,,,,,,,,,,,,,,,,,,,,,3,9.25,,,,,2016_Nov_23_1332,59.9544226956,Cambridge_final3,001,jb,
