num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
14,./stim/Novel60RA011_T1.jpg,,,,,,,,,,,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,1,2.602,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
29,./stim/NovelHLFA049_T3.jpg,,,,,,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,,3,6.767,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
8,./stim/Novel60LA011_T3.jpg,,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,,3,2.651,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
10,./stim/Novel60LA040_T2.jpg,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,2,3.835,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
7,./stim/Novel60LA004_T1.jpg,,,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,1,3.052,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
22,./stim/NovelFBLA040_T2.jpg,,,,,,,,,,,,,,,0,12,12,21,,,,,,,,,,,,,,,,,,,,,,,2,3.135,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
18,./stim/Novel60RA076_T2.jpg,,,,,,,,,,,,,,,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,,2,4.551,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
19,./stim/NovelFBLA004_T3.jpg,,,,,,,,,,,,,,,0,14,14,18,,,,,,,,,,,,,,,,,,,,,,,3,3.418,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
1,./stim/Novel30RHSA004_T3.jpg,,,,,,,,,,,,,,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,,,3,3.185,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
25,./stim/NovelHLFA004_T3.jpg,,,,,,,,,,,,,,,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,3,2.085,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
5,./stim/Novel30RHSA049_T3.jpg,,,,,,,,,,,,,,,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,3,3.101,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
12,./stim/Novel60LA076_T1.jpg,,,,,,,,,,,,,,,0,18,18,11,,,,,,,,,,,,,,,,,,,,,,,1,4.418,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
30,./stim/NovelHLFA076_T3.jpg,,,,,,,,,,,,,,,0,19,19,29,,,,,,,,,,,,,,,,,,,,,,,3,2.752,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
3,./stim/Novel30RHSA022_T1.jpg,,,,,,,,,,,,,,,0,20,20,2,,,,,,,,,,,,,,,,,,,,,,,1,6.966,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
6,./stim/Novel30RHSA076_T2.jpg,,,,,,,,,,,,,,,0,21,21,5,,,,,,,,,,,,,,,,,,,,,,,2,3.285,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
11,./stim/Novel60LA049_T1.jpg,,,,,,,,,,,,,,,0,22,22,10,,,,,,,,,,,,,,,,,,,,,,,1,4.734,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
26,./stim/NovelHLFA011_T3.jpg,,,,,,,,,,,,,,,0,23,23,25,,,,,,,,,,,,,,,,,,,,,,,3,2.718,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
2,./stim/Novel30RHSA011_T2.jpg,,,,,,,,,,,,,,,0,24,24,1,,,,,,,,,,,,,,,,,,,,,,,2,2.868,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
4,./stim/Novel30RHSA040_T3.jpg,,,,,,,,,,,,,,,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,3,2.885,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
9,./stim/Novel60LA022_T2.jpg,,,,,,,,,,,,,,,0,26,26,8,,,,,,,,,,,,,,,,,,,,,,,2,3.718,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
21,./stim/NovelFBLA022_T3.jpg,,,,,,,,,,,,,,,0,27,27,20,,,,,,,,,,,,,,,,,,,,,,,3,3.101,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
13,./stim/Novel60RA004_T2.jpg,,,,,,,,,,,,,,,0,28,28,12,,,,,,,,,,,,,,,,,,,,,,,2,2.135,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
20,./stim/NovelFBLA011_T1.jpg,,,,,,,,,,,,,,,0,29,29,19,,,,,,,,,,,,,,,,,,,,,,,1,3.651,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.9285168734,,,,,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
11,./stim/Noise60RA049_T3.jpg,,,,,,,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,3,7.716,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
1,./stim/Noise30LA004_T2.jpg,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,2,4.7,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
12,./stim/Noise60RA076_T2.jpg,,,,,,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,3,3.951,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
22,./stim/NoiseFLSA040_T1.jpg,,,,,,,,,,,,,,,,,,,0,3,3,21,,,,,,,,,,,,,,,,,,,,,1,3.751,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
23,./stim/NoiseFLSA049_T1.jpg,,,,,,,,,,,,,,,,,,,0,4,4,22,,,,,,,,,,,,,,,,,,,,,1,3.768,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
5,./stim/Noise30LA049_T2.jpg,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,1,6.733,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
17,./stim/NoiseFHSA049_T1.jpg,,,,,,,,,,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,1,3.251,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
20,./stim/NoiseFLSA011_T1.jpg,,,,,,,,,,,,,,,,,,,0,7,7,19,,,,,,,,,,,,,,,,,,,,,1,2.485,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
14,./stim/NoiseFHSA011_T2.jpg,,,,,,,,,,,,,,,,,,,0,8,8,13,,,,,,,,,,,,,,,,,,,,,2,2.352,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
16,./stim/NoiseFHSA040_T1.jpg,,,,,,,,,,,,,,,,,,,0,9,9,15,,,,,,,,,,,,,,,,,,,,,1,4.168,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
13,./stim/NoiseFHSA004_T1.jpg,,,,,,,,,,,,,,,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,1,3.068,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
4,./stim/Noise30LA040_T2.jpg,,,,,,,,,,,,,,,,,,,0,11,11,3,,,,,,,,,,,,,,,,,,,,,2,3.951,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
24,./stim/NoiseFLSA076_T3.jpg,,,,,,,,,,,,,,,,,,,0,12,12,23,,,,,,,,,,,,,,,,,,,,,3,5.733,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
3,./stim/Noise30LA022_T1.jpg,,,,,,,,,,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,1,5.55,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
8,./stim/Noise60RA011_T3.jpg,,,,,,,,,,,,,,,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,3,3.034,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
7,./stim/Noise60RA004_T1.jpg,,,,,,,,,,,,,,,,,,,0,15,15,6,,,,,,,,,,,,,,,,,,,,,1,3.718,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
6,./stim/Noise30LA076_T1.jpg,,,,,,,,,,,,,,,,,,,0,16,16,5,,,,,,,,,,,,,,,,,,,,,1,6.733,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
18,./stim/NoiseFHSA076_T3.jpg,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,3,3.335,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
9,./stim/Noise60RA022_T3.jpg,,,,,,,,,,,,,,,,,,,0,18,18,8,,,,,,,,,,,,,,,,,,,,,3,5.017,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
21,./stim/NoiseFLSA022_T2.jpg,,,,,,,,,,,,,,,,,,,0,19,19,20,,,,,,,,,,,,,,,,,,,,,2,5.316,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
10,./stim/Noise60RA040_T3.jpg,,,,,,,,,,,,,,,,,,,0,20,20,9,,,,,,,,,,,,,,,,,,,,,3,7.066,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
2,./stim/Noise30LA011_T1.jpg,,,,,,,,,,,,,,,,,,,0,21,21,1,,,,,,,,,,,,,,,,,,,,,3,8.533,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
19,./stim/NoiseFLSA004_T2.jpg,,,,,,,,,,,,,,,,,,,0,22,22,18,,,,,,,,,,,,,,,,,,,,,2,2.218,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
15,./stim/NoiseFHSA022_T1.jpg,,,,,,,,,,,,,,,,,,,0,23,23,14,,,,,,,,,,,,,,,,,,,,,2,9.416,,,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,24.8407423957,2017_Mrz_01_1604,60.0358394638,Cambridge_final3,001,27,
