num,pic,learn1,learn2,learn3,recall2,recall3,recall1,bart_loop.thisRepN,bart_loop.thisTrialN,bart_loop.thisN,bart_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,rating_1.response,rating_1.rt,key_resp_3.keys,key_resp_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,rating_6.response,rating_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,session,participant,
21,./stim/NovelFBLA022_T3.jpg,,,,,,,,,,,,,,,0,8,8,20,,,,,,,,,,,,,,,,,,,,,,,3,3.751,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
11,./stim/Novel60LA049_T1.jpg,,,,,,,,,,,,,,,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,1,4.434,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
20,./stim/NovelFBLA011_T1.jpg,,,,,,,,,,,,,,,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,1,7.167,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
18,./stim/Novel60RA076_T2.jpg,,,,,,,,,,,,,,,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,2,7.183,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
5,./stim/Novel30RHSA049_T3.jpg,,,,,,,,,,,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,1,4.617,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
3,./stim/Novel30RHSA022_T1.jpg,,,,,,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,1,4.018,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
29,./stim/NovelHLFA049_T3.jpg,,,,,,,,,,,,,,,0,14,14,28,,,,,,,,,,,,,,,,,,,,,,,3,5.367,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
30,./stim/NovelHLFA076_T3.jpg,,,,,,,,,,,,,,,0,15,15,29,,,,,,,,,,,,,,,,,,,,,,,3,3.518,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
25,./stim/NovelHLFA004_T3.jpg,,,,,,,,,,,,,,,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,3,3.718,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
13,./stim/Novel60RA004_T2.jpg,,,,,,,,,,,,,,,0,17,17,12,,,,,,,,,,,,,,,,,,,,,,,3,10.832,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
8,./stim/Novel60LA011_T3.jpg,,,,,,,,,,,,,,,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,3,5.584,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
12,./stim/Novel60LA076_T1.jpg,,,,,,,,,,,,,,,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,1,4.101,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
22,./stim/NovelFBLA040_T2.jpg,,,,,,,,,,,,,,,0,20,20,21,,,,,,,,,,,,,,,,,,,,,,,3,8.183,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
2,./stim/Novel30RHSA011_T2.jpg,,,,,,,,,,,,,,,0,21,21,1,,,,,,,,,,,,,,,,,,,,,,,2,6.2,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
1,./stim/Novel30RHSA004_T3.jpg,,,,,,,,,,,,,,,0,22,22,0,,,,,,,,,,,,,,,,,,,,,,,3,3.801,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
23,./stim/NovelFBLA049_T2.jpg,,,,,,,,,,,,,,,0,23,23,22,,,,,,,,,,,,,,,,,,,,,,,2,3.835,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
7,./stim/Novel60LA004_T1.jpg,,,,,,,,,,,,,,,0,24,24,6,,,,,,,,,,,,,,,,,,,,,,,1,4.551,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
4,./stim/Novel30RHSA040_T3.jpg,,,,,,,,,,,,,,,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,,3,7.183,,,,,2017_Feb_16_1609,60.0218724002,Cambridge_final3,001,18,
