,,% correct,percentile,z,t,df,p
Face recognition,CFMT 1 ,100.0,72.9555288343,0.611468564449,0.59,26,0.561
Face recognition,CFMT 2 ,36.6666666667,0.0205541498676,-3.53286457078,-3.40,26,0.002
Face recognition,CFMT 3 ,33.3333333333,0.978090779105,-2.33464802387,-2.25,26,0.033
